age_rating,Count of title for movie,Count of title for movie 2,Count of title for tv,description,genre,Sum of running_time,title,type,Sum of year
U/A 13+,1,1,,"A bike thief plans a big score by waltzing into a rich man's house. However, before he can lay his hands on the booty, Cupid has other plans.",Romance,136,Baa Bega Chandamama,movie,2008
U/A 13+,1,1,,"A biopic on the brave Neerja Bhanot, the head purser had sacrificed her life for the safety of her passengers when terrorists hijacked Pan Am Flight 73.",Biopic,116,Neerja,movie,2016
U/A 13+,,,1,"A bit quirky, a bit naive but extremely smart, Pinky becomes the first female Sarpanch of her village. How will she survive the toxic politics surrounding her?",Family,,Pinkicha Vijay Aso,tv,2023
U/A 13+,1,1,,A bittersweet comedy about a bicycle enthusiast in a small college town trying to sort out his future while training for the two biggest races of his life.,Drama,100,Breaking Away,movie,1979
U/A 13+,1,1,,"A bittersweet tale of love between Rasool, a Muslim taxi driver, and Anna, a Christian who works as a salesgirl. What does destiny have in store for them?",Romance,160,Annayum Rasoolum,movie,2013
U/A 13+,,,1,A blast from the past makes Ishani restart her medical practice and regain her faith in love. Will she succeed?,Drama,,Sanjeevani,tv,2020
U/A 13+,,,1,A blockbuster game show which gives ordinary people an opportunity to win some extraordinary amount of money at the bounce of a ball.,Reality,,The Wall,tv,2019
U/A 13+,,,1,"A blue-collar couple from Atlantic City struggles to get by while raising four kids, three of whom just happen to be certified geniuses.",Comedy,,Outmatched,tv,2020
U/A 13+,1,1,,"A bodyguard falls in love with a woman over the phone, without realising that she is actually the woman he is protecting.",Action,125,Bodyguard,movie,2011
U/A 13+,1,1,,A boy gets teleported to a different earth on another solar system. There he finds out the existing earth needs to undergo redevelopment. What will he do?,Science,5,Re-Development,movie,2020
U/A 13+,1,1,,"A bright college student, Manya Surve, sets foot on the wrong path when his brother is shot dead. Based on a true story.",Action,132,Shootout At Wadala,movie,2013
U/A 13+,1,1,,"A Britain-born girl marries a village boy, but she abhors him. However, circumstances leave her in a dilemma, making her realise his worth.",Comedy,144,Namasthe London,movie,2009
U/A 13+,1,1,,"A budding poet comes to Delhi to get his poems published. However, he runs into his teenage crush and things unfold in a surprising way.",Drama,19,Mukammal Jahan,movie,2022
U/A 13+,1,1,,"A business man throws his son out of the house on discovering his MBA lies. Managing life without money, he falls in love with a woman who spells danger.",Action,106,Sojiga,movie,2016
U/A 13+,1,1,,A business tycoon from Portugal gets engaged to a rich girl with an ulterior motive. But his life turns upside down when he goes to his native land.,Action,159,Vacha Kuri Thappathu,movie,2020
U/A 13+,1,1,,A by chance meeting with an acquaintance turns into an unforgettable memory.,Romance,23,A Day In Winter,movie,2020
U/A 13+,1,1,,"A call-centre employer, a government servant and a prostitute, aspire to become actors. Will their Bollywood dream come true?",Drama,115,Bollywood Diaries,movie,2016
U/A 13+,1,1,,"A Canadian military flight crashes in the frozen arctic, near Alert base in Nunavut, and the crew has to wait thirty-two hours before being rescued.",Drama,92,Ordeal in the Arctic,movie,1993
U/A 13+,1,1,,A carefree constable who would rather serve his seniors than chase criminals get pitted against a most-wanted don. How will he save himself from getting killed?,Comedy,127,Silukkuvarpatti Singam,movie,2018
U/A 13+,1,1,,A carefree Rajini's life turns upside down when the love of his life gets kidnapped by a local don's gang. How will he take on the entire gang to save her?,Action,155,Rajini from Rajahmundry,movie,2011
U/A 13+,1,1,,A carefree Sushu moves to Hyderabad with his father and falls for Sneha. Will this new phase turn him into a new responsible man?,Romance,136,Current,movie,2009
U/A 13+,1,1,,"A casanova filmmaker feels lonely after a heartbreak. Meanwhile, a notorious art thief has a change of heart after falling in love. Are there any dots to join?",Romance,139,Roy,movie,2015
U/A 13+,1,1,,"A celebrated film star lands up in jail with a hardened criminal. One night under the same roof, who will survive?",Drama,15,Kaidi,movie,2021
U/A 13+,,,1,"A chain of unfortunate events forces Sajiri and Shaunak to part ways. Things take an interesting turn when Gojiri plays the cupid, reuniting her parents.",Drama,,Mulgi Zali Ho,tv,2020
U/A 13+,,,1,"A chance encounter brings together Dr. Rohit and TV actress Sonakshi. Starting off on a wrong foot, they soon fall in love and begin a life-changing journey.",Romance,,Kahaan Hum Kahaan Tum,tv,2019
U/A 13+,1,1,,"A chance meeting with a young couple has TV anchor Ajith believing that there's more than meets the eye. While trying to solve the truth, he falls for the wife.",Thriller,137,Calcutta News,movie,2008
U/A 13+,1,1,,"A childless couple opt for surrogacy, but are they prepared for the consequences?",Drama,127,Runanubanda,movie,2009
U/A 13+,1,1,,"A childless prince decides to adopt someone from a royal family as his heir. However, he faces many challenges when many people queue up for adoption.",Comedy,127,Oottippattanam,movie,1992
U/A 13+,1,1,,A Christian girl is brought up by Hindu-Brahmin foster parents. She falls in love and must cope up with a lot of struggles and conflicts. Will her love triumph?,Drama,117,Kaalam Maarindi,movie,1982
U/A 13+,1,1,,"A city boy falls in love with a village belle. However, he soon realises that he has a lot to do apart from winning her heart.",Romance,139,Vaanga Maapillai Vaanga,movie,2017
U/A 13+,,,1,"A classic epic Ramayana, the story of Ram and Sita, retold through the eyes of the righteous, beautiful and brave Sita.",Mythology,,Siya Ke Ram,tv,2015
U/A 13+,1,1,,"A classical dancer, Priyamvadha, earns her living by teaching dance. A carnival arrives in town offering good money to local artists, and she joins it.",Drama,144,Nruthasala,movie,1972
U/A 13+,,,1,"A close look at the deadly act of terrorism that rocked the U.S. just after 9/11, when letters containing anthrax were sent to unsuspecting victims.",Drama,,The Hot Zone: Anthrax,tv,2022
U/A 13+,1,1,,"A cocky, naturally-gifted snare drummer from Harlem helps his Atlanta College marching band defeat a long-time rival in a southern battle-of-the-bands.",Drama,118,Drumline,movie,2002
U/A 13+,1,1,,"A collection of short films based on Sharadindu Bandyopadhyay's Bhut Bhabishyat, Satyajit Ray's Brown Saheber Bari, Anath Babur Bhoy and Lucknow-er Duel.",Horror,96,Jekhane Bhooter Bhoy,movie,2012
U/A 13+,1,1,,"A college lecturer, Srimannarayana, is strictly against injustice. Janaki, a student, gets attracted to him. But will his dark past come back to spoil things?",Action,133,Simha,movie,2010
U/A 13+,1,1,,"A college principal's life changes after she scolds Shyam and Siva, who play pranks on everyone. Will their guardian bring back a blast from the past for her?",Drama,144,Dosth,movie,2004
U/A 13+,1,1,,A college student with a passion for adventure runs into trouble after being accused of the murder of a professor. How will he prove his innocence?,Action,126,Vijeyudu,movie,1984
U/A 13+,1,1,,"A combination of philosophy and Buddhist principles, this work of fiction is the manifestation of dream and death or life after death.",Drama,16,DO I EXIST: A Riddle,movie,2020
U/A 13+,1,1,,"A coming-of-age story from the point of view of a content creator, portraying the struggle of a young adult trying to get into the entertainment industry.",Drama,5,Main bhi influencer,movie,2021
U/A 13+,,,1,"A coming-of-age story of Anjali, whose world revolves around Angad. When he breaks her heart, watch her set out to discover a new self.",Teen,,Jhalli Anjali,tv,2014
U/A 13+,1,1,,"A commitment-phobic man gets engaged to his girlfriend of three years. But he is unable to fulfil his duties, and they break up. Will love triumph in the end?",Romance,122,Pyaar Ke Side Effects,movie,2006
U/A 13+,,,1,A competent and resilient team of police officers strives hard to prevent crime and find the perpetrators across Maharashtra. Can they clean the system?,Crime,,Lakshya,tv,2011
U/A 13+,1,1,,A con man gets lucky when he marries a wealthy Indian woman settled in Canada. Life is now a bed of roses for him. Or is it?,Comedy,148,2 Countries,movie,2015
U/A 13+,1,1,,A concert experience featuring Elton John LIVE from Dodger Stadium in his final North American show.,Concert Film,153,Elton John Live: Farewell from Dodger Stadium,movie,2022
U/A 13+,,,1,"A confident, intelligent lawyer Pragati fights for the issues that the common man faces. Jayostute aims at creating awareness about the rising crime rate.",Drama,,Jayostute,tv,2014
U/A 13+,,,1,A confluence of devotion and music comes to life as H.B.P Shivleela Patil and renowned Kirtankars narrate the tales of enlightenment through soothing Kirtans.,Reality,,Pravah Bhaktirasacha,tv,2023
U/A 13+,1,1,,"A conman with different identities marries women only to swindle them. When he is finally caught, secrets get revealed from his dark past.",Drama,137,Budhimanthudu,movie,2008
U/A 13+,1,1,,A contract killer is hired to kill a judge. He blends with the latter's family and wins everyone's trust. But why does every shot aimed at the judge misfire?,Action,158,Ghatikudu,movie,2009
U/A 13+,1,1,,A cop falls in love with a girl whose father wouldn't approve of a groom from a different caste. Their lives change when she attempts to end her life.,Drama,135,Sakshi,movie,1983
U/A 13+,1,1,,"A corrupt chief minister hands some black money to his driver for safekeeping. However, when the driver goes missing, Devi is hired to trace him.",Drama,125,Bindas Hudugi,movie,2010
U/A 13+,1,1,,"A corrupt minister's son peddles drugs on campus. When Santu protests, he ends up paying for it with his life. Can his brother Raja avenge his murder?",Thriller,140,Ranakshetra,movie,1988
U/A 13+,,,1,A countdown of 2021's top 10 romantic moments from your favourite shows. Find out if your fav scene made the cut.,Romance,,Pyar Ka Pehla Nasha,tv,2021
U/A 13+,,,1,A couple lands in trouble after entering a temple haunted by the spirit of an evil tantrik. How will they save themselves from the terrifying nightmare that unfolds?,Thriller,,Yakshiyum Njanum,tv,2018
U/A 13+,,,1,"A courageous warrior, a hero and the first queen to fight the East India Company. Above all, Velu Nachiyar was also a daughter who craved her father's approval.",Drama,,Velammal,tv,2021
U/A 13+,1,1,,"A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard.",Action,124,Red Tails,movie,2012
U/A 13+,1,1,,"A criminal lawyer frees convicts only to kill them later. When he gets a student's murder case, his plans to deliver vigilante justice may be wrongly aimed.",Action,149,Chinthamani Kolacase,movie,2006
U/A 13+,1,1,,"A criminal who looks like the marshal of a village decides to save them from a villain. Meanwhile, the appearance of half a treasure map makes things exciting.",Comedy,142,Super Cowboy,movie,2010
U/A 13+,1,1,,"A cruel landlord insists on sleeping with the brides of all his workers. However, newlywed Devu's husband, Raman, takes a firm stand and invites his fury.",Drama,113,Puravrutham,movie,1988
U/A 13+,,,1,"A dance-based show that traces the journey of a college students and their passion for dance, as they wade through emotions around love and friendship.",Teen,,Dil Dostii Dance,tv,2013
U/A 13+,1,1,,"A dancer brings together a group of untrained, quarrelsome youngsters to win the 'Dance Dil Se' contest. What follows is a series of mind-blowing performances!",Drama,137,Prabhudeva’s ABCD,movie,2013
U/A 13+,1,1,,"A dashing sanyasi, a vigilante and a tough cop join hands to expose two perverted music composers, one of whom is murdered. What will they discover?",Action,128,Bullet,movie,2008
U/A 13+,1,1,,"A daughter of a rich man, Radha, falls in love with Venu, who is a poor musician. However, her father fixes her marriage elsewhere. What will they do now?",Drama,126,Sangeetha Lakshmi,movie,1964
U/A 13+,1,1,,"A day before his execution, convict Ravi escapes from prison. He meets Sasikala, his sister-in-law, and reveals the truth about the death of his wife, Mercy.",Thriller,134,Nirakkoottu,movie,1985
U/A 13+,1,1,,"A dedicated bank and SSC job aspirant Satya's, life takes a 180 degree flip when one morning he meets his coaching classmate Divya in the company garden.",Drama,6,Pencil,movie,2021
U/A 13+,1,1,,"A depressed Shakthivel meets Anjali on a train journey. Though he dislikes her at the start, his feelings change, until she asks him for a strange favour.",Romance,135,Priya Priyathama,movie,2011
U/A 13+,1,1,,A determined daughter walks into a matrimonial office with her quiet mother. What follows next is an awkward conversation with a charming executive.,Drama,12,Dhoop Haskar Boli,movie,2019
U/A 13+,,,1,A devotee of Lord Siva falls in love with a modern girl. What happens when the two people with different ideologies decide to spend their lives together?,Drama,,Siva Manasula Sakthi,tv,2019
U/A 13+,,,1,"A devotional story of Lord Vitthal and his devotee Pundalik, who is credited for bringing Maharashtra's most beloved deity, Lord Vitthal to Pandharpur.",Mythology,,Vithu Mauli,tv,2017
U/A 13+,1,1,,"A devout Muslim mechanic repairs an old car, not knowing that it once carried the ashes of Mahatma Gandhi.",Drama,137,Road To Sangam,movie,2010
U/A 13+,1,1,,"A drama about the development of Albert Einstein's theory of general relativity, and his relationship with British scientist Sir Arthur Eddington.",Biopic,89,Einstein And Eddington,movie,2010
U/A 13+,,,1,"A dramatised recreation of stories and the myths, it is a revamped version of the original show, Rahasya Sancharangal.",Horror,,Visvasichalum Illenkilum,tv,2016
U/A 13+,1,1,,"A dreamy-eyed street kid emerges as the winner in every dire situation. But when he steals a pair of shoes, the experience changes his perspective towards life.",Drama,8,Ramju,movie,2019
U/A 13+,1,1,,"A driving instructor is tasked by a criminal to deliver a woman to Mussoorie from Chennai. Soon, he realises his assignment may be too dangerous.",Action,133,10 Endrathukulla,movie,2015
U/A 13+,1,1,,"A drug kingpin makes Dasu a scapegoat for his illegal activities. Unfortunately for him, the latter gets an inkling of his intentions and vows to end it.",Action,128,Khiladi Doss,movie,2006
U/A 13+,,,1,"A dubbed version of Ayushaman Bhava, it is a story of a boy, who seeks justice for the crimes committed against him in his past life.",Drama,,Ayushman Bhava,tv,2018
U/A 13+,1,1,,A dutiful rowdy cop is deputed to deal with the murder case of a police commissioner. But there's more than what meets the eye.,Action,144,S3,movie,2017
U/A 13+,1,1,,"A dutiful son, a prince in his fathers' eyes, retains his purity of character despite the many challenges thrown his way.",Action,124,Daring Raajakumara,movie,2017
U/A 13+,1,1,,"A failed boxer decides to train a young vegetable seller. But, when both the coach and the student have temperament issues, how will they get along?",Drama,93,Guru,movie,2017
U/A 13+,1,1,,"A failed love marriage makes Kausalya hell-bent on protecting her daughter, Shobha, from falling in love. Can Shobha forgo her feelings for her mother's sake?",Drama,137,Etho Oru Swapnam,movie,1978
U/A 13+,1,1,,"A failed singer, a successful actress and a dreaded don are caught in the chaos. Abducted by a dangerous man, Haripada must pretend to be someone he is not.",Comedy,134,Haripada Bandwala,movie,2016
U/A 13+,1,1,,"A fairy tale about destiny and all its serendipitous wonders. Aryan comes to terms with the fact that ""that one girl"" would come to him in ways he could only dream of.",Romance,10,A Little Ways Down the Road,movie,2013
U/A 13+,1,1,,"A falsely accused convict Sethu gets released from prison, but society still despises him. Will he be able to attain his self-respect and lead an honest life?",Drama,162,Chenkol,movie,1993
U/A 13+,,,1,"A family drama that revolves around the picture perfect family of Sivankaalai and his younger son, Jeeva's efforts to keep it all together.",Family,,Kalathu Veedu,tv,2015
U/A 13+,1,1,,"A family is haunted by what seems to be a ghost until a psychiatrist arrives to solve the mystery. Together, they unravel shocking facts and a dangerous secret.",Drama,147,Raja Vijayarajendra Bahadur,movie,2010
U/A 13+,1,1,,A family is uprooted from their community and become bonded labourers in another country. Soon they rise up to become the saviour of the oppressed.,Drama,2,Refugee,movie,2006
U/A 13+,1,1,,A family-oriented film with a message to the younger generation not to overindulge themselves in gadgets.,Drama,16,Headphones,movie,2021
U/A 13+,1,1,,A family's happiness gets ruined when the wife learns that her husband is involved in illegal activities.,Drama,138,Sandarbham,movie,1984
U/A 13+,1,1,,A famous actor is cast as the lead in the remake of a Satyajit Ray film. Things get complicated when the director's live-in girlfriend plays the female lead.,Drama,126,Autograph,movie,2010
U/A 13+,1,1,,"A father calls his son who lives far away, to inform him that his mother is in critical condition. The conversation that follows is most unexpected.",Drama,6,A Phone Call,movie,2016
U/A 13+,1,1,,"A father finds his missing son in an orphanage after ten years. However, the boy has lost his memory, and the orphanage owner claims that he is his son.",Drama,145,Nandeesha,movie,2012
U/A 13+,1,1,,A father love knows no bounds! A simple cable operator hatches an elaborate plan to protect his family from the law when his daughter commits a grave crime.,Thriller,158,Drishyam,movie,2013
U/A 13+,1,1,,A father-son duo embarks on a road trip where candid confessions and weird encounters not only brings them closer but also strengthens their bond.,Drama,84,Dear Dad,movie,2016
U/A 13+,,,1,"A few years after Anant's death, Gehna has completely turned her life around. In this new journey, will she finally find her perfect partner?",Family,,Saath Nibhaana Saathiya 2,tv,2010
U/A 13+,1,1,,"A fictionalized take on water conservation. It not only puts forward the message of conserving water, but also imbibes the genre of thriller and entertainment.",Thriller,5,Cheesh,movie,2018
U/A 13+,,,1,"A fierce warrior and great ruler, Chandragupt, marries Nandhini, the daughter of his arch enemy. Will their mutual hatred for each other turn into love?",Drama,,Chandhira Nandhini,tv,2016
U/A 13+,1,1,,A fight that was won after years of struggle. The film revolves around the Telangana Movement and events that led to the protests at Osmania University in 2009.,Drama,136,Jai Bolo Telengana,movie,2011
U/A 13+,1,1,,A film director's son falls in love with a rickshaw driver's daughter while shooting for a film. But will this love story see a happy ending?,Comedy,126,Gopala Rao Gari Abbai,movie,1989
U/A 13+,1,1,,"A film revolving around three failures, a film producer, a struggling actor, and a writer-director whose life comes on track with help of a janitor.",Comedy,15,Soch-alay,movie,2021
U/A 13+,1,1,,A film that aspires to start a dialogue and remove the taboo around Periods. It is not something that needs to be spoken about in hush hush tones or hidden in black plastic bags any more.,Drama,11,Break The Taboo. Period,movie,2020
U/A 13+,1,1,,"A fisherman's wish for his daughter to become a doctor is crushed when she elopes with another fisherman. Upset, he sets a deadly task for his son-in-law.",Drama,134,Amaram,movie,1991
U/A 13+,1,1,,"A folk musician has played the Pipani all his life. What happens when this skill handed down by generations, faces new challenges?",Drama,26,Pipanya,movie,2019
U/A 13+,,,1,A fun filled chat show with cast and crew of upcoming Tamil movie Kadaikutty Singam in which they share their experiences of working on the film.,Talk Show,,Kadaikutty Singam Specials,tv,2018
U/A 13+,,,1,A fun filled event with glittering performances by Vijay TV stars.,Reality,,Vijay Natchathira Kondattam,tv,2018
U/A 13+,,,1,"A funny bunch of five people find themselves in unusual situations. Trying to find their way out, they bring the house down and leave you in splits.",Comedy,,House of Hungama,tv,2021
U/A 13+,1,1,,A funny take on a bank and its corrupt employees and their bank manager who take a commission from every customer who needs a loan.,Comedy,20,The Last Loan,movie,2020
U/A 13+,,,1,"A game show hosted by Srabanti Chatterjee, where four families compete against each other in fun-filled rounds to win exciting gifts. Entertainment guaranteed!",Reality,,Superstar Poribaar,tv,2020
U/A 13+,1,1,,"A gangster suffering from anxiety attacks tries to get psychiatric help. But when the scared doctor refuses to treat him, the gangster begins to threaten him.",Action,134,Bhargavacharitham Moonam Khandam,movie,2008
U/A 13+,1,1,,"A gangster's son kidnaps the daughter of the Chief of Police, as her father has some crucial evidence. While the police chase the two, love blooms between them.",Romance,123,Hero,movie,2015
U/A 13+,1,1,,"A gentle lady brings up two young boys as her own. However, she doesn't know which one of them is her son.",Drama,126,Randilonnu,movie,1978
U/A 13+,1,1,,"A girl comes to live with her grandmother in the village and falls for the grandson of a well-known person there, leading to the oldies playing matchmaker.",Drama,138,Manavaraali Pelli,movie,1993
U/A 13+,1,1,,A girl joins an all-boys class of an engineering college and all hell breaks loose. Things take a turn for the worse when she gets pregnant.,Comedy,114,Chunkzz,movie,2017
U/A 13+,1,1,,"A gold medallist, Bharath, fails to get a job. Due to circumstances, he joins hands with Rao Gopalrao and becomes rich. Now he's entangled in a corrupt web.",Drama,2,Jeevana Poratam,movie,1986
U/A 13+,1,1,,"A groom meets his ex-girlfriend in a cafe on his wedding day. What could he possibly want with her, when everyone is waiting for him at the wedding venue?",Romance,16,Last Time,movie,2019
U/A 13+,1,1,,A group of children come to a village on holiday. They find an empty house and soon begin to encounter weird events. What is the mystery behind the occurrences?,Drama,107,Devvada Maneli Ditta Makkalu,movie,2008
U/A 13+,1,1,,"A group of mountaineers set out to find the mythical plant, Sanjeevani. On their way, they see a host of strange creatures but no escape.",Adventure,82,Sanjeevani: Adventure on the edge,movie,2018
U/A 13+,1,1,,"A group of thieves commit burglary, leading a police officer on a quest to catch them. During his search, he unravels interesting information about the robbers.",Thriller,121,Street Lights,movie,2018
U/A 13+,1,1,,A guy rents a house in a new society. He hears some noises from the neighbor's house and remembers childhood experience & decides to take action.,Drama,8,Ice Cream,movie,2021
U/A 13+,1,1,,A guy suffering from a midlife crisis takes in a dog that is crazier than he is.,Comedy,1,A Dog Year,movie,2009
U/A 13+,1,1,,"A happily married couple, Jayashankar and Aarathi, seek divorce because of frivolous ego issues. What will happen to them?",Family,133,Vida Parayaanmathram,movie,1988
U/A 13+,1,1,,"A happy class reunion takes a dramatic turn when there is a murder. As the mystery unfolds, some dark secrets from the past tumble out of the closet.",Thriller,150,Classmates,movie,2006
U/A 13+,1,1,,"A happy evening morphs into an eventful night, putting Richa's life on the seesaw as she quests for truth behind unanswered questions.",Drama,27,On The See Saw,movie,2021
U/A 13+,1,1,,"A happy-go-lucky guy, who puts friendship above everything else, helps his friend elope with the girl he loves. But the girl's father is determined to find them.",Drama,145,Sedhin Dekha Hoyechilo,movie,2010
U/A 13+,1,1,,A happy-go-lucky man falls in love with a village belle. Problems arise when the area's influential man also sets his eyes on her.,Drama,147,Ballem,movie,2010
U/A 13+,1,1,,A happy-go-lucky Ravi meets with an accident that puts him in a coma for 16 years. Hell breaks loose when he wakes up in the 21st century!,Comedy,141,Comali,movie,2019
U/A 13+,1,1,,A haunting sequel to the 1993 Halloween classic featuring the delightfully wicked Sanderson sisters.,Comedy,103,Hocus Pocus 2,movie,2022
U/A 13+,1,1,,A hearing-impaired villager and his foreign-returned brother end up in a political mess after they fight against the tyrannical rule of the local landlord.,Action,167,Rangasthalam,movie,2019
U/A 13+,,,1,"A heart touching story of a 71-year-old man, who joins hands with his granddaughter-in-law to bring back the lost love and values in his family.",Family,,Kunjochhaya,tv,2019
U/A 13+,,,1,"A heartbreaking story of childhood sweethearts Debi and Surjo, who turn into sworn enemies.",Drama,,Debipakshya,tv,2017
U/A 13+,1,1,,A heartbroken college student becomes hopeful about love when he meets a beautiful young widow on his vacation. Is it real or just an illusion?,Romance,103,Smriti Medur,movie,2009
U/A 13+,,,1,"A heartwarming story of an unwanted girl child, who faces the wrath of the family that wanted a boy.",Drama,,Mounaraagam,tv,2018
U/A 13+,,,1,"A heartwarming tale of an unwanted girl child, who faces the wrath of the family that wanted a boy.",Drama,,Mouna Raaga,tv,2018
U/A 13+,1,1,,"A heartwarming tale of humanity! When a young boy encounters a garbage collector in an agonising ordeal, he takes up a mission to help her.",Drama,3,Saga,movie,2022
U/A 13+,,,1,"A heartwarming tale of two sisters, where Suma sacrifices her happiness to give her younger sister, Swathi a happy life.",Drama,,Sindhoora,tv,2017
U/A 13+,1,1,,"A high school girl brings a new bulb for her study lamp, unaware that it is anthropomorphic who falls in love with her. Will this quirky love find happiness?",Romance,21,Electric Piya,movie,2017
U/A 13+,,,1,"A hilarious investigative series, in which a sharp police officer, Anusha and conmen, Chand and Bhola, crack cases in their own quirky way.",Comedy,,Daffa 420,tv,2015
U/A 13+,1,1,,"A hockey match will decide the fate of Venu and Amit, who are fighting to win over the same girl, Anu. Who will manage to woo her successfully?",Romance,154,Manasu Matavinadhu,movie,2005
U/A 13+,1,1,,"A househusband has left his job to work on his time travel project. However, his wife struggles to run the house alone.",Science,12,Time Machine,movie,2019
U/A 13+,1,1,,"A husband and wife run away from their hometown to a new city. While the girl finds it difficult to cope up with the city life, can she survive it?",Comedy,24,Masale Pyar Wale,movie,2017
U/A 13+,1,1,,"A husband promises his wife that on their upcoming wedding anniversary, he will take her to an expensive restaurant for dinner. What could possibly go wrong?",Romance,10,Shaahi Paneer Love,movie,2018
U/A 13+,1,1,,"A jewel smuggler hires two petty thieves to locate a cursed medallion. Will they be successful in this magical heist, or will they fall prey to the spell?",Comedy,117,Maragatha Nanayam,movie,2017
U/A 13+,1,1,,"A jinxed guy, who has faced bad luck since childhood, finds a magical chair one day. Will it fulfil all his wishes?",Comedy,3,Make A Wish,movie,2020
U/A 13+,1,1,,A jobless graduate heads to the city in search of work. His life takes an unexpected turn when he gets framed for the murder of a politician.,Drama,143,Thiruppumunai,movie,2016
U/A 13+,1,1,,A jobless software engineer and his friends abduct a rich man's daughter for ransom. Things turn comical when she advises them on how to go about her kidnap.,Comedy,135,5 Idiots,movie,2011
U/A 13+,1,1,,A journey across the historic landscapes of the ancient world to discover how Christianity became the official religion of the Roman Empire.,Documentary,42,Jesus: Rise To Power And Birth Of Christianity,movie,2019
U/A 13+,1,1,,"A journey of fantasy, action and romance comes to life as Shiva enters the Astraverse! He discovers true love and also, the power of fire within him.",Fantasy,168,Brahmāstra Part One: Shiva,movie,2022
U/A 13+,1,1,,"A journey of two females, in pursuit of freedom.",Drama,19,Lunch Stories Chapter 2 | The 'Date' Story,movie,2021
U/A 13+,,,1,"A Kannadiga boy falls in love and marries a foreign girl. While the bride is set to win the hearts of his orthodox family, will they accept her wholeheartedly?",Drama,,Bili Hendthi,tv,2018
U/A 13+,1,1,,"A Kashmiri Pandit decides to leave her dreaded past behind and start life afresh. Years later, when work takes her back to Kashmir, someone's waiting for her.",Drama,11,Aalav,movie,2013
U/A 13+,,,1,"A kidnapped Kutti finds her birth parents and unfolds the truth about their family. With a will to hide her real identity, can Kutti shield them from peril?",Drama,,Paape Maa Jeevanajyothi,tv,2023
U/A 13+,1,1,,A law-educated housewife teaches the son of her maid about rights and the Indian constitution. But does she practice her rights too?,Drama,5,Adhikar,movie,2022
U/A 13+,1,1,,"A lazy and rich Preetham falls for Kushi, but she refuses to reciprocate his love. However, he challenges her that he will change her mind in just three days.",Romance,126,Manasu Pilichindi,movie,2009
U/A 13+,1,1,,A little misunderstanding turns Jeeva and his wife's life topsy-turvy. Will they be able to handle the situation and set things right?,Drama,112,Udvega,movie,2008
U/A 13+,,,1,A live vlog show where Kenny Sebastian sits down with a cup of tea in front of an intimate audience and has a casual conversation about things he finds amusing.,Comedy,,Chai Time With Kenny,tv,2015
U/A 13+,,,1,A lively and free-spirited Pakhi and an arrogant Aranya are drawn towards each other! What follows is an intense love-hate relationship.,Romance,,Bojhena Se Bojhena,tv,2013
U/A 13+,1,1,,"A local guy Bobby takes on a corrupt panchayat president, creating unrest all over. However, only his elder sister can control him.",Comedy,2,Uppukandam Brothers,movie,1993
U/A 13+,1,1,,"A lonely German boy's world-view turns upside down when he faces his blind nationalism with the help of his idiotic imaginary friend, Adolf Hitler.",Comedy,108,Jojo Rabbit,movie,2019
U/A 13+,1,1,,"A lonely laundryman from the suburbs of Kolkata finds companionship in an unclaimed red dress, which triggers esoteric memories from the past.",Drama,35,Laali,movie,2022
U/A 13+,1,1,,"A lonely man restores a discarded mannequin. Soon, the lines between reality and dreams begin to blur, as he struggles with his loneliness.",Drama,25,Inanimate,movie,2021
U/A 13+,1,1,,A loner starts an agency that assigns people to those who crave company. His 'relationship for hire' concept works well until a new client asks for a fake son.,Action,141,Entha Manchivaadavuraa,movie,2020
U/A 13+,1,1,,A long-forgotten trauma rears its head when Tamar’s high school friend shows up after years. Will she be able to deal with the consequences?,Drama,13,Through Her Glasses,movie,2019
U/A 13+,1,1,,A look at the career of British Prime Minister Winston Churchill who was elected during England's darkest hour.,Historical,94,Into The Storm,movie,2009
U/A 13+,1,1,,"A look at the modernising world of commodity and sexuality, in an era where change of anything, especially of a kitchen appliance is a deeply emotional issue.",Romance,16,Pressure Cooker,movie,2018
U/A 13+,,,1,A love story of an honest police officer Abhimanyu with Katha who cons the corrupt elite class to bring justice to the poor.,Drama,,Kanamachi,tv,2014
U/A 13+,,,1,"A love story which begins with a lie, and entangles three lives -- Tu Jivala Guntvave is an emotionally-charged romantic drama.",Romance,,Tu Jivala Guntvave,tv,2015
U/A 13+,1,1,,A loving couple goes through a difficult time when a problem with the husband starts affecting their relationship.,Romance,13,Aadat,movie,2020
U/A 13+,1,1,,A loving couple's joy is short-lived when they feel the presence of an unknown spirit in their life. Their adventure begins when they decide to fight back.,Horror,118,Raju Gari Gadhi 3,movie,2019
U/A 13+,,,1,"A loving husband and a self-made man, Sooraj helps his ambitious wife Deepthi achieve her dreams.",Family,,Parasparam,tv,2013
U/A 13+,,,1,"A loving mother, her foodie son and plenty of mouthwatering dishes! Join them in the kitchen for some amazing traditional and modern Bengali recipes.",Lifestyle,,Ranna Banna,tv,2020
U/A 13+,1,1,,"A loving son comes forward to help his father, an honest government employee, who is being harassed by a corrupt politician.",Action,264,Hyper,movie,4032
U/A 13+,,,1,A maid's life turns upside down when she gets married into her affluent employer's family. How will Raaji cope with her new house and changed situation?,Family,,Raaji,tv,2022
