age_rating,Count of title for movie,Count of title for movie 2,Count of title for tv,description,genre,Sum of running_time,title,type,Sum of year
A,,,1,"A psychological thriller about a therapist, Alan Strauss, who is held prisoner by a patient, Sam Fortner, who reveals himself to be a serial killer.",Drama,,The Patient,tv,2022
A,,,1,"A quintessential loser and detective with questionable skills and laughable methods navigates through petty crimes. However, something sinister is brewing.",Comedy,,Mukesh Jasoos,tv,2021
A,1,1,,A reinterpretation of the 1977 cult classic about a vacationing family who face a desperate battle for survival in the desert against bloodthirsty mutants.,Horror,107,The Hills Have Eyes,movie,2006
A,,,1,"A relevant, timely and distinctive coming-of-age story of a young, African-American male in which just growing up can be a matter of life and death.",Drama,,The Chi,tv,2018
A,1,1,,"A revenge saga of Jean de Carrouges and Jacques Le Gris, two friends & knights who must fight to the death after de Carrouges’s wife accuses Le Gris of assault.",Action,152,The Last Duel,movie,2021
A,,,1,A saga of a rich and powerful media family as they contemplate what the future will hold for them once their ageing father begins to step back from the company.,Drama,,Succession,tv,2018
A,1,1,,"A satire that follows the lives of six youngsters, who share one common aspiration - to be the face of 'New India' and meet President Bush.",Comedy,87,The President Is Coming,movie,2009
A,1,1,,A short-tempered yet brilliant young medical surgeon immerses himself in drugs and alcohol when his lady-love is forced to marry someone else.,Romance,162,Arjun Reddy,movie,2017
A,1,1,,"A simple 'mestri' manages workers at a construction site. On observing his workers being exploited by an evil minister, he makes a decision.",Action,137,Mesthri for the Society,movie,2006
A,1,1,,"A small-town teacher and her brother, the local sheriff, seek to help a troubled young boy who possesses a strange secret, unaware of the consequences.",Horror,99,Antlers,movie,2021
A,,,1,A social satire set at an exclusive Hawaiian resort follows the vacations of various hotel guests over the span of a week as they relax and rejuvenate in paradise.,Drama,,The White Lotus,tv,2021
A,1,1,,"A South Indian boy has a unique problem - giving gaalis. With this uncontrollable habit ruining his chances of getting married, will he ever find love?",Romance,7,Ashleel Pyaar,movie,2021
A,,,1,A spin-off of Ryan Murphy and Brad Falchuk’s award-winning hit anthology series American Horror Story. The series features a different horror story in each episode.,Horror,,American Horror Stories,tv,2021
A,,,1,A storm is coming and its name is crack. Set against the infancy of the crack cocaine epidemic and its ultimate radical impact on the culture as we know it.,Drama,,Snowfall,tv,2017
A,1,1,,A story about a married couple who find themselves in a spot. What happens to them is nerve-wrecking climax that one can't afford to miss.,Drama,9,Chumbak,movie,2018
A,1,1,,"A story of a detective assigned to investigate a possible murder in an abandoned neighbourhood apartment. The story takes place in a hazardous area where people have gone missing several times. As the detective enters the building to search, he starts hearing voices of an unknown family, which gives birth to a complex situation of escalating events. The detective finds his stability vulnerably threatened.",Thriller,19,Terror in the suburb,movie,2022
A,1,1,,A strained relationship with her husband forces a young woman to opt for an absurd solution- an extramarital affair. But a mistaken identity spurs chaos.,Drama,9,Life in a City,movie,2020
A,,,1,A suburban neurotic man in his late twenties has convinced himself that he's destined to be one of the best rappers of all time.,Comedy,,Dave,tv,2020
A,1,1,,A suburban teen girl and her little brother must stop a terrifying internet meme brought to life by the hysteria of their parents.,Horror,100,Grimcutty,movie,2022
A,1,1,,"A tale of romance between Ernest Hemingway and Martha Gellhorn, Hemingway's inspiration for 'For Whom the Bell Tolls'.",Historical,148,Hemingway & Gellhorn,movie,2012
A,,,1,A Teacher explores the complexities and consequences of a predatory relationship between a female teacher and her male high school student.,Drama,,A Teacher,tv,2020
A,1,1,,"A traveller decides to leave his lover behind and set out on a journey. A picturesque film about life, pride, greed, envy, lust and hope.",Drama,13,O’Kabira,movie,2019
A,,,1,A troubled CIA operative tries to balance her unsteady private life with her risky high-level job.,Thriller,,Homeland,tv,2011
A,,,1,A two-part documentary exploring actor and activist Evan Rachel Wood’s experience as a survivor of domestic abuse and her pursuit of justice.,Documentary,,Phoenix Rising,tv,2022
A,1,1,,"A weary Logan is forced out of hiding to protect Laura, a young mutant, who is pursued by an evil corporation.",Superhero,137,Logan,movie,2017
A,,,1,A well-meaning but struggling writer decides to lead a double life by pretending to be a private detective using the methods he read in old detective novels.,Comedy,,Bored To Death,tv,2009
A,1,1,,"A widowed father invites his girlfriend to move in with his daughters but, things get scary when a necklace brings about a series of unexplained occurrences.",Horror,86,Totem,movie,2017
A,1,1,,"A wife's dilemma ,a Sunday afternoon lunch with her husbands friend turns to a twisted experience .",Drama,15,Lunch With My Friend's Wife,movie,2013
A,,,1,A woman lives unhappily with her husband and children. She finds courage and decides to start her life afresh and considers divorcing her husband.,Comedy,,Divorce,tv,2016
A,1,1,,"A woman takes up vlogging to find positivity in isolation during covid lockdown, only to find her ideas conflicting with her desire for human connection.",Drama,9,Sounds of Silence,movie,2021
A,1,1,,A young African-American living in Chicago enters the seductive new world of money and power when he is hired as a chauffeur for an affluent businessman.,Drama,99,Native Son,movie,2019
A,1,1,,"A young couple travels to an exclusive island restaurant, but they soon learn that the dinner guests are about to be served some shocking surprises.",Horror,107,The Menu,movie,2022
A,,,1,"A young software engineer, Lily Chan, investigates the secretive development division of her employer, which she believes is behind the murder of her boyfriend.",Thriller,,Devs,tv,2020
