cast,country,Year,Quarter,Month,Day,description,director,duration,listed_in,rating,Sum of release_year,show_id,title,type
"","",,,,,"""After getting disqualified from the Summer Slam Battle Round, Miss D decides she needs to focus on what really matters: growing her girls into amazing dancers. The Dolls will still have a battle every week but Miss D is pushing them to think bigger, prepping them for a once-in-a-lifetime opportunity:","",2 Seasons,TV Shows,TV-PG,2018,s2961,Bring It,TV Show
"","",,,,,"""Appointment in Tokyo"" is the film story of four years of Pacific war detailing the history of the defeat of Japan.","Major Jack, Hively Captain, Jess Lasky Jr.",54 min,Special Interest,NR,1945,s3230,Appointment in Tokyo,Movie
"","",,,,,"""Black Boys"" illuminates the full spectrum of Black male humanity in America through an intimate, intergenerational conversation at the intersection of sports, education and criminal justice.",Sonia Lowman,90 min,Documentary,16+,2020,s3060,Black Boys,Movie
"","",,,,,"""Black, White & Us"" explores racism in America through the lives of four white families who adopt African American children and must overcome their own inherent biases to become advocates. Is there a way to fix our country's racial divide? These transracial adoptive families just might provide the answer.",Loki Mulholland,75 min,"Documentary, Kids",13+,2019,s3049,"Black, White & Us",Movie
"","",,,,,"""Celebrity Home Raiders"" takes viewers on tours of famous people's homes to find treasures that they can auction off for charity. Looking through the homes with the stars are host Kit Hoover and auctioneers Darren Julien and Martin Nolan, who discuss each item's sentimental value while haggling with the star over what it would be worth at auction.","",1 Season,TV Shows,TV-PG,2014,s2893,Celebrity Home Raiders,TV Show
"","",,,,,"""Celebrity House Hunting,"" allows viewers a peek inside the lives of the rich and famous as they show off their current homes and tour more amazing ones on the market.","",1 Season,TV Shows,TV-PG,2012,s2892,Celebrity House Hunting,TV Show
"","",,,,,"""Dolly's Stories"" is a funny cartoon for children. Dolly is a pretty little sheep that loves her family and friends and always ready to help them. She likes to walk with her friends and to find adventure. let's have fun and play with Dolly and her best friends! They always get into an interesting stories and you will never get bored with them!","",1 Season,"Animation, Kids",ALL,2018,s4590,Dolly's Stories,TV Show
"","",,,,,"""Golden Turkey"" fans, attention! It's a veritable voyage to the bottom of the sci-fi barrel as prehistoric ""Slime People"" emerge from the sewers of Los Angeles! The atom-age U.S. army is no match for this small band of spear-toting boogeymen and the city is evacuated.",Robert Hutton,77 min,Science Fiction,13+,2021,s9419,The Slime People,Movie
"","",,,,,"""I'm just saying 'read the air' a little more.""""You are using 'air' to mean situation.""Mitsuya Majime, an awkward salesman, and Masashi Nishioka, an easy-going dictionary editor meet by coincidence. Genbu Book's veteran dictionary editor Araki is looking for a successor. He hears about Majime from Nishioka and decides to meet him.This is a story about the clumsy people who live for words.(C)GDED","",1 Season,Anime,TV-NR,2016,s5220,The Great Passage,TV Show
"","",,,,,"""Jesus: His Life explores the story of Jesus Christ through the people in his life who were closest to him. Each of the 8 chapters is told from the perspective of different biblical figures, all of whom played a pivotal role – Joseph, John the Baptist, Mary Mother of Jesus, Caiaphas, Judas Iscariot, Pontius Pilate, Mary Magdalene and Peter.","",1 Season,"Documentary, Special Interest",TV-PG,2019,s2032,Jesus: His Life,TV Show
"","",,,,,"""Small fish. Big pond. Huge dreams. The L.A. Complex focuses on a select group of aspiring performers pursuing celluloid and stardom in LA. Moving into an apartment-style motel for displaced dreamers, each dubbed ""most likely to succeed"", they all face the challenges and opportunities of a lifetime.""","",2 Seasons,"Drama, Young Adult Audience",TV-14,2012,s4909,"L.A. Complex, The",TV Show
"","",,,,,"""Tayo the Little Bus"" is about exciting adventures that are to happen in the metropolitan city where different vehicles live with harmony with one another. Tayo is just starting to learn his route in this busy city centre and on his journey, he is making many new friends. Full of unique characters that capture children's imaginations and fun story lines, the series has a lot to offer.","",5 Seasons,"Documentary, Kids",ALL,2019,s809,Tayo the Little Bus,TV Show
"","",,,,,"""Wild North"" moves through three biotopes; vast forests, rugged coastline and interior highlands shaped by shifting ice ages. These landscapes resonate deep within the Scandinavian soul, floating into view like illustrations from shared fairy tales. And so do the iconic animal species that feature strongly in each programme, stirring ancestral memories and reaffirming our connection with the land.","",1 Season,"Documentary, Special Interest",7+,2014,s101,Wild North,TV Show
"","",,,,,"""With the help of some incredible new technology, Connect Tek, Max Steel is going to put together a super team of their own! Tempestra! With the power of the storms! La Fiera! Raging like a beast! And Cytro! A robotic powerhouse! Together with Max Steel they are Team Turbo!""","Dan Fraga, Lloyd Goldfine",64 min,"Animation, Kids",ALL,2020,s1712,Max Steel Fusion Tek,Movie
"","",,,,,*Season 1 included with Prime until 10/31* Descend hundreds of feet below the streets to explore the remnants of past civilizations.,"",1 Season,"Documentary, Special Interest",TV-PG,2008,s9024,Cities of the Underworld,TV Show
"","",,,,,"[New episode weekly] You have never been this close to Borussia Dortmund. In this 4-part docu-series, go behind-the-scenes with one of the Bundesliga’s biggest clubs and re-live the thrilling 2018/19 football season from the team’s point of view. Discover their training facilities, experience the locker room drama first-hand, and become acquainted with the players’ personal lives.","",1 Season,"International, Sports",TV-PG,2019,s2104,Inside Borussia Dortmund,TV Show
"","",,,,,18 sing-a-long animated and classic nursery rhymes. A must for all pre-schoolers.,Neil Benn,33 min,"Animation, Kids",ALL,2021,s4977,Favourite Nursery Rhymes,Movie
"","",,,,,"1930s gangster great George Raft is an ex-convict now on the right side of the law in this tight-knit crime drama. When a loan-sharking mob preys on tire company workers, dishing out brutal beatings to the men who cannot repay their debts due to the huge interest payments, Raft goes undercover to find and expose Mister Big",Seymour Friedman,80 min,Suspense,13+,2021,s7284,Loan Shark,Movie
"","",,,,,24 to Life follows eight individuals as they experience their final 24 hours before they are incarcerated. Cameras document two seemingly regular people on their final day of freedom.,"",2 Seasons,"Documentary, Special Interest",TV-PG,2018,s3488,24 to Life,TV Show
"","",,,,,"50 miles north of New York City, the town of Monroe is a microcosm for a hyper-partisan and divided nation as a land-dispute between an ultra-orthodox Hassidic sect and their secular neighbors erupts into a turf war.",Jesse Sweet,83 min,Documentary,"",2020,s2835,City of Joel,Movie
"","",,,,,"60 Days In offers an unprecedented look at life behind bars at Indiana's Clark County Jail as seven innocent volunteers are sent to live among its general population for 60 days without officers, fellow inmates, or staff knowing their secret.","",1 Season,TV Shows,TV-14,2016,s3453,60 Days In,TV Show
"","",,,,,"8 hours for a full night's sleep. Let the rolling surf of the Pacific lull you to a deep slumber. Recorded on location at Carmel by The Sea, this ultra-dark sleep video helps reduce the blue-spectrum light emitted by your tv screen. This helps enhance deep REM sleep. All Sleepwell programs are included in your Prime membership.",Mark Knight,480 min,Special Interest,ALL,2017,s935,Soothing Surf at Carmel Beach for Sleep,Movie
"","",,,,,"8 hours for sleep, featuring uninterrupted ultra dark video of serene Lake Davidson accompanied by natural sounds on location. This video helps create healthy sleep habits by reducing the blue-spectrum light waves-known to inhibit REM sleep. By following the five stages of sleep patterns, this calming video will help you relax into a deep sleep. Filmed on location, Lake Norman, North Carolina.",Jim Wilmer,480 min,Special Interest,ALL,2016,s3717,Tranquil Lake Sounds for Sleep 8 Hours,Movie
"","",,,,,a,Habib Azar,84 min,Documentary,G,2016,s1001,Simple Gifts: The Chamber Music Society at Shaker Village,Movie
"","",,,,,"A 49-minute compilation with someone the most popular nursery rhymes, like 10 Little Animals, Zoo Song, and lots more original KiiYii educational songs brought to you by Little Baby Bum!",Cannis Holder,49 min,Kids,ALL,2018,s6325,Nursery Rhymes by KiiYii Vol 2 - Animals (Made By Little Baby Bum!),Movie
"","",,,,,"A bank teller is stung on the chin by a bee. He cannot shave. His beard grows. He is abused for his non-conformity. Now he can shave. But he doesn't. After all the aggravation he has received from his peers, he is in rebellion.",Garson Kanin,90 min,Comedy,7+,1969,s7537,Some Kind of a Nut,Movie
"","",,,,,"A Bite of Shunde is produced by the main team of ""A Bite of China"". With food as the starting point, they describe the development of Cantonese cuisine. It shows Shunde's distinctive and thick regional cultural characteristics, changes and impacts.","",1 Season,TV Shows,ALL,2016,s7530,A Bite of Shunde,TV Show
"","",,,,,"A cancer researcher on a remote Caribbean island discovers that by treating the natives with snake venom he can turn them into bug-eyed zombies. Uninterested in this information, the unfortunate man is forced by his evil employer to create an army of the creatures in order to conquer the world.",Del Tenney,92 min,Horror,16+,2021,s5678,Zombie: I Eat Your Skin,Movie
"","",,,,,"A chronicle of naval vessels from yesteryear, through to modern day – an extraordinary view from above the water and below. Discover how Liberty Ships were constructed, the development of Aircraft Carriers and how the invention of Sonar affected submarine warfare. It's all here in Sea Power.","",1 Season,Documentary,7+,2005,s1080,Sea Power,TV Show
"","",,,,,"A cluster of postcard-perfect Acadian fishing villages off the coast of Nova Scotia, Canada made international news when Phillip Boudreau, a man known for poaching, was killed by fishermen in a crime the media dubbed 'Murder for Lobster.' But as anyone from the community will tell you, it's a lot more complicated than that. People don't just go around killing each other over lobster.",Megan Wennberg,52 min,Documentary,13+,2021,s8436,Murder in the Cove,Movie
"","",,,,,"A collaboration between Brooklyn musicians Jason Rabinowitz and Jacob Stein, The Pop Ups have been setting the standard for children's music since 2010. The two-time GRAMMY Award nominees for Best Children's Album go on an adventure to become part of the Great Pretenders Club in this unique and imaginative rock and roll puppet musical featuring live action and animation.",The Pop Ups,30 min,Kids,ALL,2015,s484,The Pop Ups: Great Pretenders Club,Movie
"","",,,,,A collection of historical films documenting the issues of the problems in marriage.,Sprocket Flicks,113 min,"Documentary, Special Interest",13+,2018,s1733,Marriage Counseling Films,Movie
"","",,,,,"A collection of musical stories about kids' favorite dinosaurs. Stomp around with the ferocious T-Rex, fly with our chatty friend Pteranodon and much more. This collection of musical stories combines familiar tunes with entertaining stories to cater to all the curious little explorers.","",2 Seasons,"Animation, Kids",ALL,2017,s1314,Pinkfong! Dinosaur Musical Stories,TV Show
"","",,,,,A compilation highlighting the adventures of Kii and Yii brought to you by Little Baby Bum!,Cannis Holder,51 min,Kids,ALL,2018,s3354,Adventures of Kii & Yii - Little Baby Bum,Movie
"","",,,,,"A compilation with original KiiYii educational songs, like 5 Little Monkeys, Aeiou The Vowels, Finger Family and many more!","Derek Holder, Cannis Holder",50 min,Kids,ALL,2018,s1459,Nursery Rhymes by KiiYii Vol 3 - Learning (Made By Little Baby Bum!),Movie
"","",,,,,"A compilation with original LittleBabyBum educational songs, like Eat Your Vegetables, Making Friends Song, Weather Song and many more!",Cannis Holder,49 min,Kids,ALL,2019,s4195,Learning With Little Baby Bum,Movie
"","",,,,,"A compilation with some of the most popular nursery rhymes, like 10 Little Animals, Incy Wincy Spider, Baa Baa Black Sheep, and original LittleBabyBum educational songs, like 5 Little Ducks and ABC Undersea Song!",Cannis Holder,49 min,Kids,ALL,2018,s4239,Nursery Rhymes Volume 11 by Little Baby Bum - Animals,Movie
"","",,,,,"A compilation with some of the most popular nursery rhymes, like Baby Shark, Baa Baa Black Sheep, Goosey Goosey Gander, and original LittleBabyBum educational songs, like Little Puppy Song and Mia Had A Little Dog!",Cannis Holder,49 min,Kids,ALL,2019,s4084,Animal Songs by Little Baby Bum,Movie
"","",,,,,"A crazed artist who believes himself to be the reincarnation of a murderous vampire kills young women, then boils their bodies in a vat.","Jack Hill, Stephanie Rothman",74 min,Horror,13+,2021,s7690,Track Of The Vampire,Movie
"","",,,,,A descendant of Jim Hawkins visits Treasure Island with a priceless map.,E.A. Dupont,75 min,Action,7+,1954,s6302,Return To Treasure Island,Movie
"","",,,,,"A disturbed drug addicted killer, Stephen, is forced to produce snuff films for an underworld crime organization to repay a long standing debt. As the mutilated bodies start to pile up around him, his savage crimes increase in their intensity. Stephen becomes paranoid that the organization is out to destroy him. He realizes he must make a stand and in an ultra violent finale.",David Hinds,80 min,Horror,18+,2021,s9425,Tainted Blood,Movie
"","",,,,,"A disturbing chapter in Russian history is explored in this documentary. In 1933, Joseph Stalin sent 6000 ""unwanted"" citizens of Moscow and Leningrad to a desolate Siberian island - with no food or clothes to speak of. Decades later this documentary returns to the island.",Cedric Condom,54 min,"Documentary, Special Interest",13+,2015,s4851,Cannibal Island,Movie
"","",,,,,A documentary that goes over a historical year for Atlético Madrid until they became the champions of La Liga.,Javier Jiménez Vaquerizo,70 min,"Documentary, Sports",PG-13,2021,s8466,Otra forma de entender la vida (4K UHD),Movie
"","",,,,,A documentary that goes over a historical year for Atlético Madrid until they became the champions of La Liga.,Javier Jiménez Vaquerizo,70 min,"Documentary, Sports",PG-13,2021,s8467,Otra forma de entender la vida,Movie
"","",,,,,"A documentary which examines the life and times (1850 - 1907) of John L. Waller, a prominent African American attorney, politician, newspaper publisher, diplomat and soldier.",David M. Talley,66 min,"Documentary, Special Interest",13+,2010,s2012,John L. Waller: Striving For Equality,Movie
"","",,,,,"A famous crime writer becomes a victim after a crazed fan brutally attacks her. Isolated in her apartment she tries to recover but continues to feel threatened after experiencing strange events. Her psychiatrist believes that it's all in her mind, a result of post-traumatic stress, but she is convinced that her attacker is now stalking her and resorts to extreme violence to protect herself.",Severin Eskeland,85 min,Horror,18+,2021,s8119,Lust,Movie
"","",,,,,"A feature documentary by award-winning filmmaker Chris Rodley, In My Mind was made to celebrate the 50th anniversary of enigmatic 1960s TV series The Prisoner. Featuring a series of frank archive interviews with creator Patrick McGoohan, new interviews with his daughter Catherine and never-before-seen archive footage, this is the definitive story of The Prisoner as told by its creator.",CHRIS RODLEY,78 min,"Documentary, Special Interest",ALL,2017,s8777,In My Mind,Movie
"","",,,,,"A feature length version of the gritty web series. Darren, a reformed criminal and single father battling child custody, is pulled back to the streets after a robbery hits too close to home.",Niyi Towolawi,94 min,Drama,16+,2021,s5633,False Paradise (Feature Length),Movie
"","",,,,,"A floating city on the sea, the MSC Seaside is one of the biggest cruise ships in the world. With privileged access to every part of the cruise's operation, this film uncovers the army of people and complex systems that keep this extraordinary ship at the top of its game. Full of surprising facts, this captivating programme reveals life on board in a way that viewers have never seen before",Ben Ryder,67 min,Documentary,7+,2018,s8239,The Secret Life of the Cruise,Movie
"","",,,,,A former marine embarks on a mission to rescue his kidnapped sister.,George Erschbamer,95 min,Action,R,1989,s6995,Snake Eater,Movie
"","",,,,,"A funny moment that unfortunately we can only reference as it was trimmed from our latest concert release. Deidra Muro, whose melodious vocals compliment musical cohort Paul Hammer's boy next door pairing at the helm of indie pop outfit Savoir Adore, does an impression...of Ben Gibbard...singing ""Take Me Out To The Ballgame"". She of course did not volunteer such an impression, but was egged on to do so by one of her band mates. And, it wasn't too bad. In this performance at Brooklyn Bowl, the promising New York upstarts reveal an affection for bands like Death Cab For Cutie that might go a little deeper than cute impressions. Here, the band twist lovelorn lyrics and head clenching instrumental/vocal melodies, providing the kind of affecting twine that may as well replace the heart strings for tugging on. Plus, the band's crisp and tidy pop tunes suggest they place a premium on their craft. In short, Savoir Adore are a band to keep an eye on. Perhaps you should start with this set captured during last summer's edition of The Northside Festival.",Baeble Music,34 min,Music Videos and Concerts,NR,2006,s1094,Savoir Adore,Movie
"","",,,,,"A group of people find themselves trapped in a creepy mansion, complete with secret passageways, a mad doctor and a murderous gorilla.",Bernard Carr,52 min,Comedy,NR,1948,s111,Who Killed Doc Robin,Movie
"","",,,,,"A group of professors has to fight the government in order to prevent the loss of their rights. In the midst of this struggle, Ana Rosa faces the challenge of being a woman, a mother, a professor and a union leader, but her husband's lack of understanding and her mother's machoism turn her journey even more challenging.",DF Fiuza,94 min,Drama,16+,2020,s4860,A Hug,Movie
"","",,,,,"A heart-warming, thoughtful drama, produced by RKO Pictures, which portrays the struggles and hard work of farm life. The title refers to a scene where the local preacher (Milburn Stone) gives a sermon on a story from the Book of Exodus of God's ""green promise"" to lead Moses into a land of milk and honey.",William D. Russell,94 min,Drama,7+,2021,s5683,The Green Promise,Movie
"","",,,,,"A heavy combination of drums, vocals, and bone-crushing no wave.","",46 min,Music Videos and Concerts,NR,2007,s209,USAISAMONSTER,Movie
"","",,,,,A Hollywood actress inherits a Transylvanian castle and soon learns she's descended from a line of vampires!,Freddie Francis,102 min,Horror,18+,2021,s6343,The Vampire Happening,Movie
"","",,,,,"A kind-hearted, young orphan boy and his loyal cat discover the true spirit of Christmas in this delightfully animated Yuletide tale of musical, magical holiday cheer! Produced by Golden Films. Directed by Diane Eskenazi.",Diane Paloma Eskenazi,49 min,"Animation, Kids",ALL,2016,s513,The Night Before Christmas,Movie
"","",,,,,"A logging camp, deep in the Mexican jungle is the setting for this dark, cataclysmic drama, where it's workers eventually rebel against the appalling work conditions.","Alfredo B. Crevenn, Emilio Fernandez",85 min,Drama,13+,2021,s7275,Rebelion De Los Colgados Aka The Rebelion Of The Hanged,Movie
"","",,,,,A London botonist returns from Africa with a small chimpanzee. After injecting the animal with a serum extracted from a carnivorous plant the once docile chimp goes on a rampage throughout London.,John Lemont,90 min,Science Fiction,7+,1961,s7920,Konga,Movie
"","",,,,,"A look inside the mysterious case of 16-year-old literary sensation JT LeRoy – a creature so perfect for his time that if he didn't exist, someone would have had to invent him. The strangest story about story ever told.",Jeff Feuerzeig,112 min,Documentary,R,2016,s3193,Author The JT LeRoy Story,Movie
"","",,,,,"A lusty pirate, Barbarossa (John Payne), escapes from a Spanish prison. With other inmates as crew, he captures a galleon – complete with a Spanish countess (Donna Reed).",Sydney Salkow,88 min,Action,7+,1953,s6379,Raiders Of The Seven Seas,Movie
"","",,,,,"A man wakes up on a bench without any idea who he is until he is shot dead by four masked assassins. The man wakes on the same bench thinking his death was a dream until the assassins return and despite his attempts to escape, they kill him again. Stuck in this hellish loop, he tries to unravel the mystery and with each death he gets closer to the truth.",Filip Kovacevic,82 min,Science Fiction,16+,2021,s5694,Incarnation,Movie
"","",,,,,"A massive underwater earthquake sweeps the Shark Family to the opposite side of the ocean! For Baby Shark Brooklyn, who is curious about everything, this new place is an adventure playground. In a new home, Brooklyn makes new friends, and they explore the village together. When they face problems big or small, their different characteristics create synergy and help them overcome hardships.","",1 Season,"Animation, Kids",ALL,2021,s8884,Baby Shark Brooklyn,TV Show
"","",,,,,"A mixture of indie rock and political awareness, courtesy of this female-fronted DC act, eXIT cLOV.","",39 min,Music Videos and Concerts,NR,2011,s2531,EXIT cLoV,Movie
"","",,,,,A mockumentary following the last group of elite players preparing to enter the 20th anniversary GoldenEye World Championships in a world which has forgotten all about the classic Nintendo 64 game.,Jim Miskell,57 min,Comedy,13+,2021,s6644,Going For Golden Eye,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,26 min,Kids,ALL,2020,s1945,KiiYii - Humpty Dumpty & More Classic Kids Songs,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,26 min,Kids,ALL,2020,s5937,KiiYii - Johny Johny Yes Papa & More Nursery Rhymes for Kids,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,28 min,Kids,ALL,2020,s1943,KiiYii - London Bridge Is Falling Down & More Classic Nursery Rhymes,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,29 min,Kids,ALL,2020,s1015,Sick Song & More Nursery Rhymes For Kids - KiiYii,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,29 min,Kids,ALL,2020,s5231,KiiYii - Miss Polly Had A Dolly - Valentines Day Nursery Rhymes for Kids,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,30 min,Kids,ALL,2020,s151,Wash Your Hands & More Classic Kids Songs - KiiYii,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,30 min,Kids,ALL,2020,s1944,KiiYii - Learn ABCs 123s & More Nursery Rhymes for Kids,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,30 min,Kids,ALL,2020,s6277,KiiYii - Learn How To Get Dressed & More Kids Songs,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,31 min,Kids,ALL,2020,s2073,Jack And Jill & More Classic Nursery Rhymes For Kids - KiiYii,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,31 min,Kids,ALL,2020,s3566,10 Little Buses & More Counting Songs For Kids - KiiYii,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Moonbug Entertainment,33 min,Kids,ALL,2020,s1037,Shapes Song & More Learning Songs For Kids - KiiYii,Movie
"","",,,,,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs, and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!","",5 Seasons,Kids,ALL,2019,s1461,Nursery Rhymes and Kids Songs by KiiYii (Made by Little Baby Bum),TV Show
"","",,,,,"A Promise to My Father follows Israel ""Izzy"" Arbeiter as he returns to the sites of his darkest hours and relives the Holocaust's unimaginable horrors. With his grandson in tow, Izzy travels to Treblinka, Auschwitz and Stuttof, and various Holocaust memorials, with the hope of bringing closure to this painful chapter of his life.",Tim Gray,56 min,Documentary,13+,2013,s3397,A Promise to My Father,Movie
"","",,,,,"A relaxing and engaging video for children of all ages. Families can relax to sights including the Chinese Ice Festival, desert windmills, lighthouses, butterflies and flowers, Venice gondolas, swimming with fish and other relaxing sights from around the world.",Mark Knioght,60 min,Special Interest,ALL,2012,s936,Soothing Sights and Sounds for Kids,Movie
"","",,,,,A relaxing campfire in a stone fire pit with background ocean waves. Filmed in it's full duration (not a looped clip) the logs are consumed and replenished with fresh firewood for a realistic fire experience. Watch and you may even find a S'Mores' or two roasting on the fire.,Mark Knight,480 min,Documentary,ALL,2017,s4563,Relaxing Beach Campfire 8 hours,Movie
"","",,,,,"A relaxing video postcard features no narration or music-simply the natural sounds and video in HD. Scenes include Del Norte Coast California, Yellowstone National Park, Tumalo Falls in Oregon, Caceres Reef in the Philippines, Colorado River in Texas, Terrebonne Cattle Ranchin Oregon, Coastline Valaparasio in Chile, Schroon River in the Adirondack Mountains, Makapu'u Tide Pools in Maui and more.",Mark Knight,30 min,Special Interest,ALL,2012,s3478,30 Minutes of Flowing Water,Movie
"","",,,,,"A relaxing video postcard format with no narration or music_simply the natural sounds and video in HD. Yangtze River China, Horsehollow Wind farm, Grand Bahama Island Infinity Pool, Buckingham Fountain Chicago, Bellagio Fountain Las Vegas, Fly fishing on the Mohican River, Glass fish of Apo Islands Philippines, Hacienda Temozon Mexico, Crown Fountain Chicago and sunrise on Annapolis Harbor",Mark Knight,30 min,Special Interest,ALL,2012,s3476,30 Minutes of Relaxation,Movie
"","",,,,,"A relaxing video postcard format with no narration or music-simply the natural sounds and video in HD. Relax with vistas of Lake Tahoe's spectacular natural beauty including beaches, waterfalls and mountains. Relax with Sharecare Windows.",Mark Knight,60 min,Special Interest,ALL,2013,s3386,A Trip Through Lake Tahoe,Movie
"","",,,,,"A relaxing video postcard with no narration or music-simply the natural sounds and video in HD. Enjoy the spectacular natural beauty of Hawaii including, Eternity Beach, Ioa Valley Park, Blowhole, Rainbow Falls, Kawaiola Bay, Lotus Flower ponds, Jungle Waterfall, Makapu'u Tide Pools, Maui Twin Falls, Kaeohe Bay, Tunnels Beach at Hanalei, Waimoku Falls, Haleakala National Forest, and more.",Mark Knight,60 min,Special Interest,ALL,2012,s3387,A Tour Through Hawaii,Movie
"","",,,,,"A relaxing video postcard with no narration-simply the natural sounds and HD video. Views include; Eternity Beach in Hawaii, Fly fishing on the Mohican River, Asilomar Beach inCalifornia, Twin Falls Yankee Boy Basin in Colorado, Jungle waterfall in Maui, Del Norte Coast lighthouse in California, Adirondack Mountains in New York, Trunk Bay in St. John and Annapolis Harbor sunrise.",Mark Knight,30 min,Special Interest,ALL,2012,s2969,Breathtaking Scenes from Around the World,Movie
"","",,,,,"A relaxing video postcard with no narration-simply the natural sounds and video in HD. Views include Desoto Falls Fort Payne, Iao Valley Maui, Sipalay Boats Philippines, Island of Hawaii beach, Del Norte Coast California, Grand Bahama Island Infinity Pool, #18 hole of Punta Mita Golf Course, Glassfish Apo Island Philippines, Schroon River Adirondack Mountains, and Fishing Boats in Aruba.",Mark Knight,30 min,Special Interest,ALL,2012,s4177,30 Minutes to Relax in Nature,Movie
"","",,,,,"A relaxing video postcard with views of gondolas on Venice Canals, fireworks at Navy Pier in Chicago, Cloud Gate at Millennium Park in Chicago, cruising the Three Rivers Gorge on the Yangtze River in China, underwater reefs in the Cebu Island in the Philippines, Bellagio Fountains in Las Vegas, a Sea of Cortez beach sunset and the Snow and Ice Festival inHarbin China.",Mark Knight,30 min,Special Interest,ALL,2012,s3120,Beautiful Vistas from Around the World,Movie
"","",,,,,"A scientist steals his grandfather's body from a mausoleum and, in a secret lab, uses the blood of a kidnapped girl to resurrect him; Gruesome Grandpappy takes it from here. This Mexi-melodrama was later ""Hollywood-enhanced"" by the addition of new Jerry Warren-directed footage in which junk-film favorites Katherine Victor and Bruno VeSota pretend to be part of the other proceedings!",Jerry Warren,71 min,Horror,13+,2021,s7290,Creature Of The Walking Dead,Movie
"","",,,,,"A selection of relaxing piano music form the World's mist famous composers; Chopin, Haydn, Debussy, Brahms, Beethoven, Scriabin, Ravel and Schumann. Accompanied by a relaxing waterfall at Olympic National Park. Performed by Nico de Napoli, Edward Roser, Carlos Gardels, Vadim Chaimovich and Donald Betts.",Mark Knight,48 min,"Music Videos and Concerts, Special Interest",ALL,2017,s2829,Classical Piano for Sleep and Relaxation,Movie
"","",,,,,"A selection of the world's favorite classical music from Beethoven, Mozart, Bach, Chopin, Vivaldi, Brahms and more. Accompanied by beautiful nature videos to enhance the senses. Performed by Martha Goldstein, Paul Pitman, Markus Staab, Nico de Napoli, Michel Rondeau, Aya Higuchi, Orchestra Gli Armonici, John Harrison, Us Navy Band, Carlos Gardels. Curated by Oumayma Naciri.",Mark Knight DIrector,81 min,"Music Videos and Concerts, Special Interest",ALL,2017,s829,Symphony in Colorado,Movie
"","",,,,,"A shark bite spreads a virus across the globe, turning the world upside down. Deep below the ocean, a group of researchers race against time to find a cure. Something has infected the lab technicians and it's a race against time to reach the surface with an antidote before they are all killed by themselves and the sharks lurking inside the test pool and outside in the ocean.",Mark Polonia,74 min,Science Fiction,16+,2021,s6430,Virus Shark,Movie
"","",,,,,A short documentary exploring the decline in numbers of people being interested in religion and/or attending church.,"Dean Kamitsis, Michael Whitfield",8 min,Documentary,7+,2018,s9454,Faith In Humanity Restored,Movie
"","",,,,,A Social Cure travels to South Africa to investigate the epicenter of the HIV pandemic to expand the potential of our social networking technologies and explore how we can contribute to a future free from HIV.,Meissa Hampton,99 min,"Documentary, LGBTQ, Special Interest",13+,2020,s7529,A Social Cure,Movie
