cast,country,Year,Quarter,Month,Day,description,director,duration,listed_in,rating,Sum of release_year,show_id,title,type
"Dinesh Ravi, Malavika Nair, Aadukalam Murugadoss, E. Ramdoss","",,,,,"Tamizh and Kodi, a visually impaired couple, undergo many hardships to unite when they learn that Kodi's brother has decided to marry her off to someone else in return for a favour.",Raju Murugan,149 min,Romance,13+,2014,s7237,Cuckoo,Movie
"Dinesh Tej, Shweta Avasthi, Sanjay Swarup, Bindu","",,,,,"Siddhu, the son of a rich businessman fails in his startup and loses hopes in success. Vennela, a naive small-town girl who is already engaged to an NRI comes to Hyderabad and understands that this marriage would limit her to being just a housewife. She decides to have a successful career before marriage and in the process, meets Siddhu. A mutually enlightening journey gets both of them closer.",Pawan Kumar K,119 min,"Comedy, Romance",ALL,2021,s7487,Merise Merise,Movie
"Dinesh, Adhiti Menon","",,,,,"In order to marry the love of his life, Deva tries to hide the fact that he cannot drive a vehicle from his future mother-in-law.",Gandhi Manivasagam,102 min,"Action, Comedy, Romance",ALL,2018,s8925,Kalavaani Mappillai (Hindi),Movie
"Dinesh, Mahima Nambiar, Radha Ravi, Mayilswamy","",,,,,"A toddy seller's son decides to become a politician in order to exact revenge against a bar owner who humiliated his father. However, things do not go as planned.",Rajkumar,105 min,Drama,13+,2018,s7875,Annanukku Jai,Movie
"Dinesh, Miya, Nivetha Pethuraj, Abhinav, Riythvika","",,,,,"Three young women, who have different perspectives on marriage, struggle to lead a happy life as they deal with criticisms and parental pressure to get committed soon.",Nelson Venkatesan,128 min,"Comedy, Romance",13+,2016,s7336,Oru Naal Koothu,Movie
"Dinesh, Nandita Swetha, Bala Saravanan, Sriman, John Vijay","",,,,,"Ulkuthu is set in a small coastal town which is ruled by Kaka Mani (Sharath Lohitashwa) and his brother Saravanan (Dhilip Subbarayan), loansharks who deal in blood and blows when their debtors don't pay on time.",Caarthick Raju,119 min,"Action, Comedy, Drama",13+,2017,s7778,Ulkuthu,Movie
"Divya Rao, Posani Krishna Murali","",,,,,"Tempt Raja is a Telugu movie starring Veernala Rama Krishna Rao, Divya Rao, and Aasma in prominent roles. It is a comedy-drama movie directed by Veernala Rama Krishna Rao with T. Shankar as a musician, forming part of the crew.",Veernala Rama Krishna Rao,103 min,"Comedy, Drama",18+,2021,s7881,Tempt Raja,Movie
"Divya, Vamsi, Satya Prakash","",,,,,"A suspense thriller film directed by N Hari Prasad Reddy, starring Satya Prakash, Vamsi, and Divya in the lead roles.",N Hari Prasad Reddy,99 min,"Drama, Romance, Suspense",18+,2020,s5379,CBI Vs Lovers,Movie
"Dmitriy Kharatyan, Ekaterina Guseva, Aleksey Shevschenkov","",,,,,"A little boy catches a goldfish and releases it without any redemption. Wishing be grateful, the goldfish grants him an expensive bicycle that he always wanted to have. But a small city, where the boy lives, can't keep any secret. Soon everyone wants to fulfil a wish by the boy and the goldfish. They just don't believe that he released her.",Stepan Puchinyan,88 min,"Comedy, Kids, Science Fiction",13+,2011,s7299,The Goldfish in N City,Movie
"DMX, Wes Brown, Louis Herthum","",,,,,"In the countryside, Alan and his friend Becky steal a creepy wooden box with a powerful voodoo stick inside from his voodooistic neighbor.",Amir Valinia,81 min,Horror,R,2008,s8150,Carnivorous,Movie
