Sum of Budget($),country,Year,Quarter,Month,Day,Genre,orig_lang,Sum of Revenue($),Sum of score,Title
18000000,AU,2016,Qtr 2,April,21,"Adventure, Drama, Science Fiction", English,7680250,62,Midnight Special
23000000,AU,2016,Qtr 2,April,21,"Comedy, Drama, History, Adventure", English,45060480,72,Eddie the Eagle
14000000,AU,2016,Qtr 2,April,22,"Thriller, Drama, Romance", English,3621046,73,Colonia
250000000,AU,2016,Qtr 2,April,28,"Adventure, Action, Science Fiction", English,1151899586,74,Captain America: Civil War
25000000,AU,2016,Qtr 2,April,28,"Comedy, Drama, Romance", English,48782670,60,Mother's Day
20000000,AU,2016,Qtr 2,May,12,action, English,14397593,63,Bastille Day
73000000,AU,2016,Qtr 2,May,12,"Animation, Adventure, Comedy", English,352288341,62,The Angry Birds Movie
35000000,AU,2016,Qtr 2,May,12,comedy, English,108757621,58,Neighbors 2: Sorority Rising
5000000,AU,2016,Qtr 2,May,12,"Horror, Crime, Thriller", English,3807503,67,Green Room
178000000,AU,2016,Qtr 2,May,19,"Action, Adventure, Science Fiction, Fantasy", English,542537546,65,X-Men: Apocalypse
31500000,AU,2016,Qtr 2,May,19,"Action, Crime, Science Fiction", English,38771262,62,Criminal
40000000,AU,2016,Qtr 2,May,20,"Action, Comedy", English,124827316,62,Ride Along 2
20000000,AU,2016,Qtr 2,May,23,"Action, Adventure, Drama", English,237662041,61,"Crouching Tiger, Hidden Dragon: Sword of Destiny"
2500000,AU,2016,Qtr 2,May,26,"Adventure, Comedy, Drama", English,23900842,77,Hunt for the Wilderpeople
170000000,AU,2016,Qtr 2,May,26,"Adventure, Family, Fantasy", English,276928112,66,Alice Through the Looking Glass
160200000,AU,2016,Qtr 2,May,26,"Animation, Science Fiction, Action", Japanese,382043040,71,Psycho-Pass: The Movie
50000000,AU,2016,Qtr 2,May,26,"Comedy, Crime, Action", English,59596747,71,The Nice Guys
131800000,AU,2016,Qtr 2,May,27,"Action, Adventure, Comedy", English,341078050,57,The Do-Over
2000000,AU,2016,Qtr 2,May,27,"Action, Adventure, Science Fiction", English,17187434,64,Hardcore Henry
90000000,AU,2016,Qtr 2,June,2,"Crime, Thriller, Action, Mystery", English,328325007,68,Now You See Me 2
27000000,AU,2016,Qtr 2,June,2,"Thriller, Drama", English,93466095,64,Money Monster
