country,Sum of budget,genre,language,r date,Sum of revenue,Sum of score,title
AU,30000000,"Action, Adventure, Horror, Thriller", English,2005-11-24 00:00:00,27147991,53,The Cave
AU,30000000,"Action, Adventure, Thriller", English,1990-04-05 00:00:00,200500000,74,The Hunt for Red October
AU,30000000,"Action, Comedy", English,2017-08-31 00:00:00,176586701,69,The Hitman's Bodyguard
AU,30000000,"Action, Comedy, Crime", English,2022-04-21 00:00:00,29116320,68,The Unbearable Weight of Massive Talent
AU,30000000,"Action, Comedy, Horror, Thriller", English,2002-09-26 00:00:00,36722311,57,Eight Legged Freaks
AU,30000000,"Action, Crime", English,2003-10-16 00:00:00,180906076,80,Kill Bill: Vol. 1
AU,30000000,"Action, Crime", English,2005-09-06 00:00:00,92494381,68,Four Brothers
AU,30000000,"Action, Crime, Drama", English,2001-04-24 00:00:00,17865209,60,Antitrust
AU,30000000,"Action, Crime, Drama", English,2020-11-11 00:00:00,1309971,57,The Tax Collector
AU,30000000,"Action, Crime, Drama, Thriller", English,2018-03-02 00:00:00,48575965,61,Death Wish
AU,30000000,"Action, Crime, Thriller", English,2004-04-22 00:00:00,152159461,79,Kill Bill: Vol. 2
AU,30000000,"Action, Crime, Thriller", English,2013-02-21 00:00:00,48330757,60,The Last Stand
AU,30000000,"Action, Crime, Thriller", English,2015-09-24 00:00:00,84264182,74,Sicario
AU,30000000,"Action, Crime, Thriller", English,2017-02-16 00:00:00,33296659,59,Sleepless
AU,30000000,"Action, Crime, Thriller", English,2021-07-15 00:00:00,1015760,64,Gunpowder Milkshake
AU,30000000,"Action, Drama", English,2015-08-20 00:00:00,94156456,74,Southpaw
AU,30000000,"Action, Drama, Crime, Thriller, Mystery", English,1998-07-04 00:00:00,19035741,62,The Replacement Killers
AU,30000000,"Action, Drama, Western", English,2007-11-01 00:00:00,14711793,71,The Assassination of Jesse James by the Coward Robert Ford
AU,30000000,"Action, Fantasy, Science Fiction", English,1998-04-09 00:00:00,51327406,45,Mortal Kombat: Annihilation
AU,30000000,"Action, Science Fiction, Thriller", English,1988-01-28 00:00:00,38122000,65,The Running Man
AU,30000000,"Action, Thriller", English,2011-02-03 00:00:00,108957098,60,Sanctum
AU,30000000,"Action, Thriller", English,2014-11-26 00:00:00,75958800,74,John Wick
AU,30000000,"Action, Thriller", English,2017-08-03 00:00:00,98345423,64,Atomic Blonde
AU,30000000,"Action, Thriller, Adventure", English,2011-07-28 00:00:00,65343694,66,Hanna
AU,30000000,"Action, Thriller, Crime", English,2011-11-22 00:00:00,3721988,67,Machine Gun Preacher
AU,30000000,"Action, Thriller, Crime", English,2018-03-06 00:00:00,80147166,68,Den of Thieves
AU,30000000,"Action, Thriller, Science Fiction", English,2012-09-26 00:00:00,170466405,69,Looper
AU,30000000,"Adventure, Action, Thriller", English,1985-07-01 00:00:00,152627960,62,A View to a Kill
AU,30000000,"Adventure, Action, Thriller", English,2006-09-07 00:00:00,7755686,52,DOA: Dead or Alive
AU,30000000,"Adventure, Animation, Comedy, Family", English,2005-09-04 00:00:00,197593152,70,Wallace & Gromit: The Curse of the Were-Rabbit
AU,30000000,"Adventure, Drama, History", English,2017-08-17 00:00:00,19358084,64,The Lost City of Z
AU,30000000,"Adventure, Fantasy, Animation, Science Fiction, Family", Japanese,2000-09-07 00:00:00,163649270,67,Pokémon: The Movie 2000
AU,30000000,"Adventure, Fantasy, Drama", English,2011-07-08 00:00:00,3669465,76,The Fall
AU,30000000,"Adventure, Fantasy, Mystery", English,2009-10-29 00:00:00,64352607,64,The Imaginarium of Doctor Parnassus
AU,30000000,"Animation, Adventure, Comedy, Family", English,2017-01-12 00:00:00,96589789,72,Ballerina
AU,30000000,"Animation, Adventure, Family, Comedy", English,1995-12-07 00:00:00,365270951,80,Toy Story
AU,30000000,"Animation, Adventure, Family, Western", English,2021-06-12 00:00:00,42235744,73,Spirit Untamed
AU,30000000,"Animation, Comedy, Adventure, Family", French,2015-01-16 00:00:00,42830578,68,Asterix: The Mansions of the Gods
AU,30000000,"Animation, Comedy, Family, Adventure", English,2014-01-19 00:00:00,122529966,58,The Nut Job
AU,30000000,"Animation, Family, Adventure, Fantasy, Action", Japanese,1999-12-16 00:00:00,163644662,69,Pokémon: The First Movie
AU,30000000,"Animation, Science Fiction", Japanese,2014-03-19 00:00:00,310985,66,Space Pirate Captain Harlock
AU,30000000,Comedy, English,1996-10-24 00:00:00,181489203,67,The First Wives Club
AU,30000000,Comedy, English,2008-02-28 00:00:00,84646831,40,Meet the Spartans
AU,30000000,Comedy, English,2012-06-28 00:00:00,54052249,58,The Three Stooges
AU,30000000,Comedy, English,2015-06-04 00:00:00,46438538,62,Entourage
AU,30000000,Comedy, English,2016-01-07 00:00:00,106030660,60,Sisters
AU,30000000,Comedy, English,2018-08-01 00:00:00,65859911,62,Life of the Party
AU,30000000,"Comedy, Action, Adventure, Fantasy", English,2021-04-14 00:00:00,1131683,74,Love and Monsters
AU,30000000,"Comedy, Action, Fantasy", English,2014-02-14 00:00:00,15391979,63,Vampire Academy
AU,30000000,"Comedy, Animation, Family", English,2011-05-05 00:00:00,13521829,51,Hoodwinked Too! Hood VS. Evil
AU,30000000,"Comedy, Crime", English,1994-03-24 00:00:00,51132598,65,Naked Gun 33⅓: The Final Insult
AU,30000000,"Comedy, Crime", English,1999-03-11 00:00:00,176885658,65,Analyze This
AU,30000000,"Comedy, Crime, Drama", English,2003-01-23 00:00:00,306770545,71,Chicago
AU,30000000,"Comedy, Drama", English,1999-09-16 00:00:00,228641283,65,Big Daddy
AU,30000000,"Comedy, Drama, Family, Music, Romance", English,2009-06-25 00:00:00,169173206,66,Hannah Montana: The Movie
AU,30000000,"Comedy, Drama, Romance", English,2010-05-13 00:00:00,82148538,70,Letters to Juliet
AU,30000000,"Comedy, Drama, Romance", English,2016-10-20 00:00:00,44348292,65,Café Society
AU,30000000,"Comedy, Drama, Romance", English,2018-12-05 00:00:00,237814149,71,Crazy Rich Asians
AU,30000000,"Comedy, Family, Romance", English,2001-11-07 00:00:00,165334774,69,The Princess Diaries
AU,30000000,"Comedy, Fantasy, Science Fiction", English,1986-12-17 00:00:00,16295774,54,Howard the Duck
AU,30000000,"Comedy, Horror", English,1985-10-31 00:00:00,40520649,70,Fright Night
AU,30000000,"Comedy, Horror, Fantasy", English,1996-02-15 00:00:00,10772144,60,Dracula: Dead and Loving It
AU,30000000,"Comedy, Music, Drama", English,2006-05-25 00:00:00,65390493,69,Take the Lead
AU,30000000,"Comedy, Romance", English,2001-12-06 00:00:00,286500000,62,American Pie 2
AU,30000000,"Comedy, Romance", English,2008-01-10 00:00:00,160247805,64,27 Dresses
AU,30000000,"Comedy, Romance", English,2009-01-09 00:00:00,115150424,62,Bride Wars
AU,30000000,"Comedy, Romance", English,2012-05-03 00:00:00,61623819,58,The Five-Year Engagement
AU,30000000,"Comedy, Romance", English,2019-11-07 00:00:00,123428868,72,Last Christmas
AU,30000000,"Comedy, Romance, Drama", English,2008-04-17 00:00:00,105475310,65,Forgetting Sarah Marshall
AU,30000000,"Comedy, Romance, Drama", English,2011-07-21 00:00:00,61449135,59,Larry Crowne
AU,30000000,"Comedy, Science Fiction, Romance", English,2006-07-20 00:00:00,60772856,51,My Super Ex-Girlfriend
AU,30000000,"Comedy, Thriller, Crime", English,2004-07-08 00:00:00,26323969,57,The Whole Ten Yards
AU,30000000,"Crime, Comedy, Action", English,2013-10-10 00:00:00,80588942,64,The Family
AU,30000000,"Crime, Comedy, Adventure", English,1995-11-30 00:00:00,212400000,63,Ace Ventura: When Nature Calls
AU,30000000,"Crime, Drama", English,1998-02-19 00:00:00,23461013,64,Hoodlum
AU,30000000,"Crime, Drama", English,2001-04-04 00:00:00,83282296,74,Blow
AU,30000000,"Crime, Drama", English,2006-09-15 00:00:00,41457834,70,Gridiron Gang
AU,30000000,"Crime, Drama, Action", English,1975-01-10 00:00:00,48575965,69,Death Wish
AU,30000000,"Crime, Drama, Mystery, Thriller", English,1996-03-06 00:00:00,102616183,76,Primal Fear
AU,30000000,"Crime, Drama, Mystery, Thriller", English,2008-11-01 00:00:00,32262866,64,Pride and Glory
AU,30000000,"Crime, Drama, Thriller", English,2021-02-18 00:00:00,29735222,63,The Little Things
AU,30000000,"Crime, Mystery, Thriller", English,1995-11-02 00:00:00,328125643,84,Se7en
AU,30000000,"Crime, Thriller, Drama, Romance", English,1994-03-09 00:00:00,63848322,78,Carlito's Way
AU,30000000,Drama, English,2001-01-25 00:00:00,136771683,76,Remember the Titans
AU,30000000,Drama, English,2005-02-03 00:00:00,231928227,80,Million Dollar Baby
AU,30000000,Drama, English,2005-03-10 00:00:00,61950770,69,Friday Night Lights
AU,30000000,Drama, English,2009-07-30 00:00:00,95714875,74,My Sister's Keeper
AU,30000000,"Drama, Action, Crime", English,2006-01-16 00:00:00,7000000,63,Chaos
AU,30000000,"Drama, Action, Thriller", English,1990-01-18 00:00:00,133892212,66,Black Rain
AU,30000000,"Drama, Animation, War, Romance", Japanese,2014-02-27 00:00:00,117932401,78,The Wind Rises
AU,30000000,"Drama, Comedy, Romance", English,2010-12-16 00:00:00,102820008,70,Love & Other Drugs
AU,30000000,"Drama, Comedy, Romance", English,2012-08-23 00:00:00,133085295,63,Hope Springs
AU,30000000,"Drama, Crime", English,1984-10-04 00:00:00,5576529,84,Once Upon a Time in America
AU,30000000,"Drama, Crime", English,2018-01-25 00:00:00,59284015,71,Molly's Game
AU,30000000,"Drama, History", English,2018-01-11 00:00:00,150807630,74,Darkest Hour
AU,30000000,"Drama, History, Romance", English,2006-04-27 00:00:00,26184400,65,The New World
AU,30000000,"Drama, History, War", English,2009-10-01 00:00:00,216794294.4,68,Che: Part One
AU,30000000,"Drama, Horror, Mystery", English,2017-10-12 00:00:00,44516999,70,mother!
AU,30000000,"Drama, Mystery, Romance, Thriller", English,2004-12-09 00:00:00,21577076,69,Wicker Park
AU,30000000,"Drama, Mystery, Science Fiction, Thriller", English,2008-07-24 00:00:00,69363381,57,The X Files: I Want to Believe
AU,30000000,"Drama, Romance", English,2007-11-15 00:00:00,156835339,72,P.S. I Love You
AU,30000000,"Drama, Romance", English,2007-12-26 00:00:00,129779728,77,Atonement
AU,30000000,"Drama, Romance", English,2010-08-04 00:00:00,165889117,68,Step Up 3D
AU,30000000,"Drama, Romance", English,2012-02-09 00:00:00,197618160,72,The Vow
AU,30000000,"Drama, Thriller, Romance", English,1993-01-21 00:00:00,38000000,49,Body of Evidence
AU,30000000,"Drama, War", English,1987-12-11 00:00:00,45017134,81,Full Metal Jacket
AU,30000000,"Family, Animation, Comedy, Fantasy, Adventure, Action", English,2005-01-06 00:00:00,140161792,70,The SpongeBob SquarePants Movie
AU,30000000,"Family, Comedy, Drama, Romance", English,2006-04-26 00:00:00,10419084,61,First Daughter
AU,30000000,"Family, Comedy, Fantasy", English,2003-01-16 00:00:00,62432423,61,Like Mike
AU,30000000,"Fantasy, Comedy, Romance", English,2011-08-31 00:00:00,162275213,75,Midnight in Paris
AU,30000000,"Fantasy, Drama, Comedy, Family", English,1995-12-14 00:00:00,246100000,62,Babe
AU,30000000,"Fantasy, Horror, Thriller, Science Fiction", English,1997-11-27 00:00:00,25480490,60,Mimic
AU,30000000,"Fantasy, Science Fiction", English,1991-10-31 00:00:00,15556340,47,Highlander II: The Quickening
AU,30000000,"Horror, Comedy", English,1987-03-19 00:00:00,38747385,69,Little Shop of Horrors
AU,30000000,"Horror, Comedy", English,1997-03-13 00:00:00,29359216,69,The Frighteners
AU,30000000,"Horror, Comedy, Romance", English,2013-04-11 00:00:00,114834312,64,Warm Bodies
AU,30000000,"Horror, Fantasy", English,2012-06-14 00:00:00,70683134,66,The Cabin in the Woods
AU,30000000,"Horror, Thriller", English,2007-11-08 00:00:00,80276156,64,30 Days of Night
AU,30000000,"Horror, Thriller, Comedy", English,2022-11-18 00:00:00,73040804,72,The Menu
AU,30000000,"Romance, Adventure, Science Fiction, Drama", English,2017-03-02 00:00:00,16481405,71,The Space Between Us
AU,30000000,"Romance, Drama", English,2004-10-14 00:00:00,115937163,79,The Notebook
AU,30000000,"Romance, Drama, Thriller, Crime", English,2011-02-03 00:00:00,67255916,71,The Next Three Days
AU,30000000,"Romance, Fantasy, Animation", English,2005-11-17 00:00:00,114770654,75,Corpse Bride
AU,30000000,"Romance, Fantasy, Drama", English,2015-04-16 00:00:00,68984536,75,The Age of Adaline
AU,30000000,Science Fiction, English,2009-08-13 00:00:00,212453431,74,District 9
AU,30000000,"Science Fiction, Action", English,2018-08-30 00:00:00,10383524,62,Kin
AU,30000000,"Science Fiction, Action, Adventure, Thriller", English,1989-10-20 00:00:00,70200000,57,Star Trek V: The Final Frontier
AU,30000000,Thriller, English,2005-03-31 00:00:00,35294470,61,Assault on Precinct 13
AU,30000000,"Thriller, Action, Crime, Drama", English,2013-05-01 00:00:00,19599974,61,Dead Man Down
AU,30000000,"Thriller, Action, Crime, Drama", English,2021-02-01 00:00:00,32609631,65,Honest Thief
AU,30000000,"Thriller, Action, Mystery", English,2017-11-22 00:00:00,11247280,61,Overdrive
AU,30000000,"Thriller, Crime, Drama, Mystery", English,2003-10-29 00:00:00,156822020,77,Mystic River
AU,30000000,"Thriller, Crime, Horror", English,2014-07-23 00:00:00,87956618,62,Deliver Us from Evil
AU,30000000,"Thriller, History, Drama", English,2018-02-08 00:00:00,56096200,54,The 15:17 to Paris
CN,30000000,"Science Fiction, War", Chinese,2019-08-09 00:00:00,60875030,55,Shanghai Fortress
MX,30000000,"Thriller, Drama, Romance"," Spanish, Castilian",2011-03-04 00:00:00,451516855.8,69,Perras
US,30000000,"Action, Adventure", English,1996-04-26 00:00:00,57400547,61,The Quest
US,30000000,"Action, Science Fiction", English,1997-04-04 00:00:00,48138337,51,Double Team
US,30000000,"Adventure, Comedy, Crime, Action, Thriller", English,1988-07-20 00:00:00,81613606,72,Midnight Run
US,30000000,"Adventure, Drama, Romance, War, Western", English,1994-12-16 00:00:00,160502573,74,Legends of the Fall
US,30000000,"Animation, Comedy, Fantasy", English,1992-07-10 00:00:00,14110589,56,Cool World
US,30000000,"Animation, Family, Adventure", English,2011-07-15 00:00:00,50145607,69,Winnie the Pooh
US,30000000,Comedy, English,2003-06-13 00:00:00,28986358,42,Dumb and Dumberer: When Harry Met Lloyd
US,30000000,Comedy, English,2009-02-03 00:00:00,103971,64,Private Valentine: Blonde & Dangerous
US,30000000,"Comedy, Family", English,2005-01-06 00:00:00,89809433,59,Racing Stripes
US,30000000,"Crime, Drama", English,2018-09-14 00:00:00,25947983,63,White Boy Rick
US,30000000,"Crime, Drama, Action, Thriller, Science Fiction", English,2011-07-19 00:00:00,967000,54,Tekken
US,30000000,"Crime, Drama, Thriller", English,1993-11-24 00:00:00,135130999,75,A Perfect World
US,30000000,Drama, English,2005-09-12 00:00:00,23676771,72,North Country
US,30000000,Drama, English,2017-09-22 00:00:00,8786287,70,Stronger
US,30000000,"Drama, Romance", English,2003-10-31 00:00:00,24900000,60,The Human Stain
US,30000000,"Drama, Thriller", English,2017-04-21 00:00:00,18705001,118,Unforgettable
US,30000000,"Family, Animation, Adventure, Comedy", English,2000-11-17 00:00:00,103291131,66,Rugrats in Paris: The Movie
US,30000000,"Family, Animation, Comedy", English,2017-07-27 00:00:00,46372519,66,The Son of Bigfoot
US,30000000,"Family, Animation, Fantasy", English,2014-02-25 00:00:00,203520323.2,61,The Swan Princess: A Royal Family Tale
US,30000000,"Family, Comedy", English,2003-09-19 00:00:00,47902566,72,Secondhand Lions
US,30000000,"Fantasy, Comedy, Family", English,2016-08-05 00:00:00,57814445,57,Nine Lives
US,30000000,Horror, English,2005-05-20 00:00:00,251495,53,Dominion: Prequel to The Exorcist
US,30000000,"Horror, Comedy", English,2011-08-19 00:00:00,40520649,62,Fright Night
US,30000000,"Horror, Science Fiction, Thriller", English,2009-10-06 00:00:00,28542494,58,Splice
US,30000000,"Horror, Thriller", English,2009-03-15 00:00:00,90810892,64,Drag Me to Hell
US,30000000,"Romance, Drama", English,1999-02-22 00:00:00,52880016,62,Message in a Bottle
US,30000000,"Romance, Drama, Comedy", English,1998-05-29 00:00:00,81529000,63,Hope Floats
US,30000000,"Science Fiction, Action, Thriller", English,2006-03-03 00:00:00,30962112,52,Ultraviolet
US,30000000,"Thriller, Action, Crime", English,2018-01-12 00:00:00,21709539,54,Proud Mary
US,30000000,"Thriller, Crime, Action", English,2015-01-30 00:00:00,4315789,56,Wild Card
AU,29900000,"Family, Comedy", English,2019-12-12 00:00:00,69412425,68,Playing with Fire
US,29800000,"Science Fiction, Animation, Action", English,2010-02-02 00:00:00,7000000,70,Planet Hulk
DE,29720000,"Drama, History, Music, Romance, Crime", German,2022-10-27 00:00:00,9598008,69,Rhinegold
CN,29700000,"War, Action, Drama", Chinese,2017-07-27 00:00:00,870322670,66,Wolf Warrior 2
KR,29606139.8,"Action, Horror", Korean,2019-07-31 00:00:00,11750306,67,The Divine Fury
JP,29606012.8,"Animation, Romance", Japanese,2019-10-11 00:00:00,4736031,71,Her Blue Sky
AU,29551333.2,Documentary, English,2013-06-07 00:00:00,2063312,79,Blackfish
US,29521149.2,Western, English,1959-03-17 00:00:00,5800000,79,Rio Bravo
AU,29500000,Horror, English,1985-10-01 00:00:00,158452875,150,Dawn of the Dead
AU,29500000,"Horror, Action", English,2004-06-10 00:00:00,158452875,140,Dawn of the Dead
TH,29296922,"Horror, Thriller", Thai,2021-10-28 00:00:00,7230000,70,The Medium
AU,29215333.2,"Animation, Comedy, Adventure, Family"," Spanish, Castilian",2022-12-01 00:00:00,3500000,79,An Egg Rescue
AR,29211149.2,"Comedy, Thriller, Crime"," Spanish, Castilian",2020-01-16 00:00:00,7627100,78,The Heist of the Century
MX,29211149.2,Comedy," Spanish, Castilian",2016-09-15 00:00:00,12421716,78,No Manches Frida
AU,29202530.2,"Animation, Science Fiction, Action, Drama", Japanese,2010-04-28 00:00:00,41162041,79,Evangelion: 2.0 You Can (Not) Advance
