genre,rating,Sum of release_year,Sum of runtime,title
Animals & Nature,U/A 7+,2017,44,"Zeb's Big Fish: 40,000 Lb. Shark"
Animals & Nature,U/A 7+,2017,43,Zeb's Big Fish: Giant Goonch
Animals & Nature,U/A 7+,2017,43,Zeb's Big Fish: Hammerhead Invasion
Animation,U,2002,73,101 Dalmatians II: Patch's London Adventure
Animation,U,1998,94,A Bug's Life
Animation,U,1995,77,A Goofy Movie
Animation,U,1994,75,A Troll in Central Park
Animation,U,1992,90,Aladdin
Animation,U,1996,78,Aladdin And The King Of Thieves
Animation,U,1994,69,Aladdin: The Return of Jafar
Animation,U,2007,66,Alibaba
Animation,U,1951,72,Alice In Wonderland
Animation,U,1997,94,Anastasia
Animation,U,2020,180,Arendelle Castle Yule Log
Animation,U,2021,180,Arendelle Castle Yule Log: Cut Paper Edition
Animation,U,2003,80,Atlantis: Milo's Return
Animation,U,2013,69,Bablu - The Naughty Jin
Animation,U,4014,201,Bal Ganesh
Animation,U,2009,68,Bal Ganesh 2
Animation,U,2015,66,Bal Ganesh 3
Animation,U,4038,156,Bal Ganesh and Friends from Zeba
Animation,U,2017,79,Bal Ganesh and the Pomzom Planet
Animation,U,2010,48,Bal Hanuman – Return of the Demon
Animation,U,2010,49,Bal Hanuman III – Return of the Demon
Animation,U,2012,68,Bal Hanuman IV – Attack of the Universe
Animation,U,1942,67,Bambi
Animation,U,2006,72,Bambi II
Animation,U,2018,7,Bao
Animation,U,2008,96,Bolt
Animation,U,2004,4,Boundin'
Animation,U,2006,73,Brother Bear 2
Animation,U,2008,7,BURN-E
Animation,U,2006,116,Cars
Animation,U,2011,106,Cars 2
Animation,U,2017,102,Cars 3
Animation,U,2011,5,Cars Toon: Air Mater
Animation,U,2010,3,Cars Toon: Heavy Metal Mater
Animation,U,2013,1,Cars Toon: Hiccups
Animation,U,2006,7,Cars Toon: Mater And The Ghostlight
Animation,U,2010,4,Cars Toon: Mater Private Eye
Animation,U,2008,3,Cars Toon: Mater The Greater
Animation,U,2010,4,Cars Toon: Monster Truck Mater
Animation,U,1941,7,Chef Donald
Animation,U,2012,93,Chetak The Wonder Horse
Animation,U,2005,80,Chicken Little
Animation,U,1950,71,Cinderella
Animation,U,2002,73,Cinderella II: Dreams Come True
Animation,U,2007,70,Cinderella III: A Twist In Time
Animation,U,2010,5,Day & Night
Animation,U,2002,75,Disney's Tarzan & Jane
Animation,U,2020,181,Dory's Reef Cam
Animation,U,2008,86,Dr. Seuss' Horton Hears A Who!
Animation,U,1990,70,Ducktales: The Movie Treasure Of The Lost Lamp
Animation,U,1941,63,Dumbo
Animation,U,1940,114,Fantasia
Animation,U,1999,74,Fantasia 2000
Animation,U,2014,5,Feast
Animation,U,2017,103,Ferdinand
Animation,U,1998,73,Ferngully 2: The Magical Rescue
Animation,U,2016,96,Finding Dory
Animation,U,2003,100,Finding Nemo
Animation,U,2019,6,Float
Animation,U,2001,3,For The Birds
Animation,U,2019,3,Forky Asks A Question: What is a Computer?
Animation,U,2019,2,Forky Asks A Question: What is a Friend?
Animation,U,2019,2,Forky Asks A Question: What is a Leader?
Animation,U,2019,3,Forky Asks A Question: What is a Pet?
Animation,U,2019,3,Forky Asks A Question: What is Art?
Animation,U,2019,2,Forky Asks A Question: What is Cheese?
Animation,U,2019,3,Forky Asks A Question: What is Love?
Animation,U,2019,2,Forky Asks A Question: What is Money?
Animation,U,2019,3,Forky Asks A Question: What is Reading?
Animation,U,2019,3,Forky Asks A Question: What is Time?
Animation,U,2013,102,Frozen
Animation,U,2015,7,Frozen Fever
Animation,U,2014,5,Get A Horse!
Animation,U,2013,72,Ghatothkach – 2
Animation,U,2008,91,Ghatothkach- Master of Magic
Animation,U,2011,83,Gnomeo & Juliet (Feature)
Animation,U,1941,7,Goofy The Art of Skiing
Animation,U,1997,93,Hercules
Animation,U,2002,81,Ice Age
Animation,U,2011,25,Ice Age: A Mammoth Christmas
Animation,U,2016,94,Ice Age: Collision Course
Animation,U,2012,84,Ice Age: Continental Drift
Animation,U,2009,94,Ice Age: Dawn of the Dinosaurs
Animation,U,2006,90,Ice Age: The Meltdown
Animation,U,2005,4,Jack Jack Attack
Animation,U,2005,67,Kim Possible Movie: So The Drama
Animation,U,2019,8,Kitbull
Animation,U,2003,3,Knick Knack
Animation,U,2005,74,Kronk's New Groove
Animation,U,1955,75,Lady And The Tramp
Animation,U,2001,66,Lady And The Tramp II: Scamp's Adventure
Animation,U,2020,7,Lamp Life
Animation,U,2014,22,LEGO Star Wars: The New Yoda Chronicles - Escape from the Jedi Temple
Animation,U,2014,22,LEGO Star Wars: The New Yoda Chronicles - Race For Holocrons
Animation,U,2014,22,LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant
Animation,U,2001,85,Lilo & Stitch
Animation,U,2019,8,Loop
Animation,U,1986,2,Luxo Jr.
Animation,U,2019,75,Mahabali Bal Ganesh Part VI
Animation,U,2019,22,Marvel Rising: Chasing Ghosts
Animation,U,2019,22,Marvel Rising: Operation Shuri
Animation,U,2019,44,Marvel Rising: Playing with Fire
Animation,U,2004,64,"Mickey, Donald, Goofy: The Three Musketeers"
Animation,U,1999,63,Mickey's Once Upon A Christmas
Animation,U,2004,64,Mickey's Twice Upon a Christmas
Animation,U,2002,3,Mike's New Car
Animation,U,2013,103,Monsters University
Animation,U,2001,92,"Monsters, Inc."
Animation,U,2004,75,Mulan II
Animation,U,2007,118,My Friend Ganesha
Animation,U,1961,75,One Hundred And One Dalmatians
Animation,U,2012,85,Pandavas: The Five Warriors
Animation,U,1953,73,Peter Pan
Animation,U,2011,78,Phineas and Ferb The Movie: Across the 2nd Dimension
Animation,U,2013,44,Phineas and Ferb: Mission Marvel
Animation,U,2003,71,Piglet's Big Movie
Animation,U,1940,87,Pinocchio
Animation,U,2016,6,Piper
Animation,U,2013,87,Planes
Animation,U,2014,80,Planes: Fire & Rescue
Animation,U,1947,6,Pluto Mail Dog
Animation,U,1995,77,Pocahontas
Animation,U,1998,73,Pocahontas II: Journey To A New World
Animation,U,1997,72,Pooh's Grand Adventure: The Search For Christopher Robin
Animation,U,2005,65,Pooh's Heffalump Movie
Animation,U,2008,77,Prahalad
Animation,U,2019,8,Purl
Animation,U,2003,61,Recess: Taking The Fifth Grade
Animation,U,2007,102,Return of Hanuman
Animation,U,2002,72,Return To Never Land
Animation,U,2011,91,Rio
Animation,U,2014,101,Rio 2
Animation,U,1973,79,Robin Hood
Animation,U,2000,80,Sindbad: Beyond the Veil of Mists
Animation,U,2012,102,Singasan Battisi
Animation,U,1959,75,Sleeping Beauty
Animation,U,2019,8,Smash And Grab
Animation,U,1937,79,Snow White And The Seven Dwarfs
Animation,U,2003,77,Son of Alladin
Animation,U,2003,60,Stitch! The Movie
Animation,U,2011,86,Super K
Animation,U,1999,88,Tarzan
Animation,U,2005,70,Tarzan II
Animation,U,2011,5,The Ballad of Nessie
Animation,U,2011,74,The Dancing God - Shiva
Animation,U,2000,78,The Emperor's New Groove
Animation,U,1981,82,The Fox And The Hound
Animation,U,2006,69,The Fox And The Hound 2
Animation,U,1986,74,The Great Mouse Detective
Animation,U,1996,90,The Hunchback Of Notre Dame
Animation,U,2001,65,The Hunchback Of Notre Dame II
Animation,U,2004,115,The Incredibles
Animation,U,1967,77,The Jungle Book
Animation,U,2003,72,The Jungle Book 2
Animation,U,2011,45,The Legend of Devi Durga
Animation,U,2016,42,The Lion Guard: Return Of The Roar
Animation,U,2004,76,The Lion King 1 1/2
Animation,U,1998,80,The Lion King II: Simba's Pride
Animation,U,1989,82,The Little Mermaid
Animation,U,2000,75,The Little Mermaid II: Return To The Sea
Animation,U,2008,74,The Little Mermaid: Ariel's Beginning
Animation,U,1990,25,The Prince And The Pauper
Animation,U,2009,97,The Princess And The Frog
Animation,U,1941,73,The Reluctant Dragon
Animation,U,2000,73,The Tigger Movie
Animation,U,1994,86,Thumbelina
Animation,U,2010,5,Tick Tock Tale
Animation,U,2008,77,Tinker Bell
Animation,U,2010,76,Tinker Bell And The Great Fairy Rescue
Animation,U,2014,73,Tinker Bell And The Legend Of The Neverbeast
Animation,U,2009,80,Tinker Bell And The Lost Treasure
Animation,U,1995,81,Toy Story
Animation,U,1999,92,Toy Story 2
Animation,U,2010,102,Toy Story 3
Animation,U,2019,100,Toy Story 4
Animation,U,2013,21,Toy Story Of Terror! (Tv Special)
Animation,U,2014,21,Toy Story That Time Forgot (Tv Special)
Animation,U,2011,5,Toy Story Toons: Hawaiian Vacation
Animation,U,2012,6,Toy Story Toons: Partysaurus Rex
Animation,U,2011,7,Toy Story Toons: Small Fry
Animation,U,2009,96,Up
Animation,U,2012,67,Veer Abhimanyu
Animation,U,2008,98,Wall-E
Animation,U,2019,8,Wind
Animation,U,2011,62,Winnie The Pooh
Animation,U,2003,61,Winnie The Pooh: A Very Merry Pooh Year
Animation,U,2003,65,Winnie The Pooh: Springtime With Roo
Animation,U/A 13+,2018,101,Isle of Dogs
Animation,U/A 13+,2014,70,Marvel's Iron Man & Captain America: Heroes United
Animation,U/A 13+,2007,83,The Simpsons Movie
Animation,U/A 7+,2014,97,Big Hero 6
Animation,U/A 7+,2012,89,Brave
Animation,U/A 7+,2017,105,Coco
Animation,U/A 7+,2000,81,Dinosaur
Animation,U/A 7+,2009,95,Disney's A Christmas Carol
Animation,U/A 7+,2013,98,Epic
Animation,U/A 7+,2012,86,Frankenweenie
Animation,U/A 7+,2019,104,Frozen II
Animation,U/A 7+,2009,88,G-Force
Animation,U/A 7+,2016,24,Ice Age: The Great Egg-Scapade
Animation,U/A 7+,2018,119,Incredibles 2
Animation,U/A 7+,2015,94,Inside Out
Animation,U/A 7+,2021,44,LEGO Star Wars Terrifying Tales
Animation,U/A 7+,2014,22,LEGO Star Wars: The New Yoda Chronicles - Duel of Skywalkers
Animation,U/A 7+,2014,22,LEGO Star Wars: The New Yoda Chronicles - The Clash of Skywalkers
Animation,U/A 7+,2005,65,Lilo & Stitch 2: Stitch Has A Glitch
Animation,U/A 7+,2021,95,Luca
Animation,U/A 7+,2011,88,Mars Needs Moms
Animation,U/A 7+,2018,80,Marvel Rising: Secret Warriors
Animation,U/A 7+,2015,73,Marvel Super Hero Adventures: Frost Fight!
Animation,U/A 7+,2016,75,Marvel's Hulk: Where Monsters Dwell
Animation,U/A 7+,2013,71,Marvel's Iron Man & Hulk: Heroes United
Animation,U/A 7+,2007,90,Meet The Robinsons
Animation,U/A 7+,2016,107,Moana
Animation,U/A 7+,2021,7,Nona
Animation,U/A 7+,2012,6,Paperman
Animation,U/A 7+,2020,84,Phineas & Ferb The Movie: Candace Against The Universe
Animation,U/A 7+,2018,113,Ralph Breaks The Internet
Animation,U/A 7+,2007,111,Ratatouille
Animation,U/A 7+,2021,107,Raya and the Last Dragon
Animation,U/A 7+,2015,7,Sanjay's Super Team
Animation,U/A 7+,2020,100,Soul
Animation,U/A 7+,2019,101,Spies In Disguise
Animation,U/A 7+,2015,41,Star Wars Rebels: The Siege Of Lothal
Animation,U/A 7+,2016,41,Star Wars Rebels: Twilight Of The Apprentice
Animation,U/A 7+,2008,97,Star Wars: The Clone Wars
Animation,U/A 7+,2010,100,Tangled
Animation,U/A 7+,2014,95,The Book of Life
Animation,U/A 7+,2015,93,The Good Dinosaur
Animation,U/A 7+,2006,6,The Little Matchgirl
Animation,U/A 7+,1977,77,The Rescuers
Animation,U/A 7+,2006,81,The Wild
Animation,U/A 7+,2002,95,Treasure Planet
Animation,U/A 7+,2021,7,Twenty Something
Animation,U/A 7+,2021,6,Us Again
Animation,U/A 7+,2012,96,Wreck-It Ralph
Biopic,A,2013,113,Behind The Candelabra
Biopic,A,2015,107,Bessie
Biopic,A,1999,118,Boys Don't Cry
Biopic,A,2007,88,Stuart: A Life Backwards
Biopic,U,2013,178,Bhaag Milkha Bhaag
Biopic,U,2018,136,Captain
Biopic,U,2021,143,Golondaaj
Biopic,U,2015,110,Gour Hari Dastaan
Biopic,U,2015,124,Hawaizaada
Biopic,U,1977,128,Jagathguru Adisankaran
Biopic,U,4032,355,MS Dhoni: The Untold Story
Biopic,U,1984,180,Srimadvirat Veerabrahmendra Swami Charitra
Biopic,U,2019,153,Super 30
Biopic,U/A 13+,2020,121,Clouds
Biopic,U/A 13+,2010,89,Einstein And Eddington
Biopic,U/A 13+,1983,120,Lekhayude Maranam Oru Flashback
Biopic,U/A 13+,2016,177,MS Dhoni: The Untold Story
Biopic,U/A 13+,2013,93,Muhammad Ali's Greatest Fight
Biopic,U/A 13+,2016,116,Neerja
Biopic,U/A 13+,2022,110,Rise
Biopic,U/A 13+,2011,129,The Dirty Picture
Biopic,U/A 13+,2005,115,Warm Springs
Biopic,U/A 13+,1979,97,When Hell Was in Session
Biopic,U/A 16+,2001,123,61*
Biopic,U/A 16+,2019,174,A Hidden Life
Biopic,U/A 16+,2016,112,Aag Se Khelenge
Biopic,U/A 16+,2013,163,Attahasa
Biopic,U/A 16+,2019,152,Ford v Ferrari
Biopic,U/A 16+,2013,87,Phil Spector
Biopic,U/A 16+,2018,158,Sanju
Biopic,U/A 16+,2011,94,Too Big To Fail
Biopic,U/A 7+,1997,152,Annamayya
Biopic,U/A 7+,2022,133,Kaun Pravin Tambe?
Biopic,U/A 7+,2020,119,Safety
Biopic,U/A 7+,1987,129,Swathi Thirunal
Biopic,U/A 7+,2005,120,The Greatest Game Ever Played
Biopic,U/A 7+,2010,152,Yugapurushan
Comedy,A,2022,118,Good Luck Jerry
Comedy,A,2003,132,Jhankaar Beats
Comedy,A,2018,104,Kaalakaandi
Comedy,A,2022,102,Not Okay
Comedy,A,2023,32,Pill Hai Ke Maanta Nahi
Comedy,A,2019,93,Stuber
Comedy,A,2016,114,Sunshine Music Tours and Travels
Comedy,A,2021,107,"The French Dispatch of the Liberty, Kansas Evening Sun"
Comedy,A,2009,87,The President Is Coming
Comedy,A,2001,109,The Royal Tenenbaums
Comedy,A,2017,39,Tour De Pharmacy
Comedy,A,2021,103,Vacation Friends
Comedy,U,2014,6,A Trip To Egypt
Comedy,U,1991,116,Aakasha Kottayile Sultan
Comedy,U,1990,150,Akkare Akkare Akkare
Comedy,U,1985,117,Akkare Ninnoru Maran
Comedy,U,1995,129,Aniyan Bava Chetan Bava
Comedy,U,1994,94,Baby's Day Out
Comedy,U,1998,140,Bade Miyan Chote Miyan
Comedy,U,2018,123,Badhaai Ho
Comedy,U,1958,103,Bhanu Pelo Lottery
Comedy,U,2008,129,Bhoothnath
Comedy,U,2014,146,Bhoothnath Returns
Comedy,U,2004,2,C.I. Mahadevan
Comedy,U,1989,135,Chakkikotha Chankaran
Comedy,U,2000,131,Chal Mere Bhai
Comedy,U,1999,149,Chandamama
Comedy,U,1997,165,Chandralekha
Comedy,U,1976,118,Chhoti Si Baat
Comedy,U,1988,156,Chithram
Comedy,U,1994,149,CID Unnikrishnan BA Bed
Comedy,U,2013,133,Club 60
Comedy,U,1992,128,Congratulations Miss Anitha Menon
Comedy,U,1995,136,Coolie No. 1
Comedy,U,1994,106,D2: The Mighty Ducks
Comedy,U,1996,103,D3: The Mighty Ducks
Comedy,U,1991,106,Daivasahayam Lucky Centre
Comedy,U,2006,101,Darwaza Bandh Rakho
Comedy,U,2014,134,Disco Singh
Comedy,U,2006,94,Doctor Dolittle 3
Comedy,U,2009,86,Dr. Dolittle: Million Dollar Mutts
Comedy,U,2008,87,Dr. Dolittle: Tail to The Chief
Comedy,U,2009,122,Duplicate
Comedy,U,1966,140,Dus Lakh
Comedy,U,2013,124,Ethir Neechal
Comedy,U,2013,119,Golemale Pirit Koro Na
Comedy,U,1997,133,Hero No. 1
Comedy,U,2018,134,Hoichoi Unlimited
Comedy,U,1993,157,Hum Hain Rahi Pyar Ke
Comedy,U,2003,146,Hungama
Comedy,U,2022,4,I Am Groot: Groot Takes a Bath
Comedy,U,2022,4,I Am Groot: Groot's First Steps
Comedy,U,2022,4,I Am Groot: Groot's Pursuit
Comedy,U,2022,3,I Am Groot: Magnum Opus
Comedy,U,2022,3,I Am Groot: The Little Guy
Comedy,U,2015,138,Indru Netru Naalai
Comedy,U,2019,135,Jamai Badal
Comedy,U,1997,132,Junior Mandrake
Comedy,U,2013,126,Kadal kadannu oru Maathukkutty
Comedy,U,2007,131,Katha Parayumpol
Comedy,U,2006,124,Khosla Ka Ghosla
Comedy,U,1973,160,Ladies Hostel
Comedy,U,1971,154,Lakhon Me Ek
Comedy,U,2016,141,Love Express
Comedy,U,2014,143,Maan Karate
Comedy,U,1998,127,Mangalyappallakku
Comedy,U,2018,110,Manojder Adbhut Bari
Comedy,U,1971,137,Marunattil Oru Malayali
Comedy,U,2014,105,Mathai Kuzhappakkaranalla
Comedy,U,1993,146,Mithunam
Comedy,U,2015,131,Naalu Policeum Nalla Irundha Oorum
Comedy,U,1990,129,Nanma Niranjavan Sreenivasan
Comedy,U,2018,123,Nimir
Comedy,U,2019,99,Noelle
Comedy,U,2015,122,Online Binline
Comedy,U,2009,134,Oru Black & White Kudumbam
Comedy,U,2006,148,Pachakkuthira
Comedy,U,2011,128,Pachuvum Kovalanum
Comedy,U,2022,128,Prince
Comedy,U,1992,113,Priyapetta Kukku
Comedy,U,2013,147,Pullipulikalum Aattinkuttiyum
Comedy,U,1994,148,Raja Babu
Comedy,U,2021,4,Raja Beta
Comedy,U,2017,154,Rakshadhikari Baiju
Comedy,U,1989,140,Ramjirao Speaking
Comedy,U,1972,145,Sambhavami Yuge Yuge
Comedy,U,1986,132,Sanmanassullavarkku Samadhanam
Comedy,U,2009,88,Santa Buddies
Comedy,U,2015,132,Sata Lota Pan Sagla Khota
Comedy,U,2008,83,Snow Buddies
Comedy,U,1972,93,Snowball Express
Comedy,U,1988,162,Sreekrishnapurathe Nakshathrathilakkam
Comedy,U,1966,129,Sthanarthi Saramma
Comedy,U,2017,41,Tangled: The Series - Queen For A Day
Comedy,U,2016,117,Thammar Boyfriend
Comedy,U,2015,88,The Peanuts Movie
Comedy,U,2002,104,The Santa Clause 2
Comedy,U,2006,91,The Santa Clause 3: The Escape Clause
Comedy,U,2013,133,Thillu Mullu
Comedy,U,1990,125,Thoovalsparsham
Comedy,U,2021,11,Tohfa
Comedy,U,1999,156,Udayapuram Sulthan
Comedy,U,2014,146,Ulsaha Committee
Comedy,U,2014,123,Vellimoonga
Comedy,U/A 13+,2016,153,…Re
Comedy,U/A 13+,1999,97,10 Things I Hate About You
Comedy,U/A 13+,2015,148,2 Countries
Comedy,U/A 13+,2010,121,35/100 Just Pass
Comedy,U/A 13+,2011,135,5 Idiots
Comedy,U/A 13+,2009,1,A Dog Year
Comedy,U/A 13+,2015,120,A Paying Ghost
Comedy,U/A 13+,1998,146,Aavida Maa Aavide
Comedy,U/A 13+,1992,133,Aayushkalam
Comedy,U/A 13+,2013,160,ABCD
Comedy,U/A 13+,2007,137,Abraham & Lincoln
Comedy,U/A 13+,1993,124,Adheham Enna Idheham
Comedy,U/A 13+,2015,126,Adi Kapyare Kootamani
Comedy,U/A 13+,2014,99,Amit Sahni Ki List
Comedy,U/A 13+,2012,129,Ayyaare
Comedy,U/A 13+,2004,142,Baithare Baithare
Comedy,U/A 13+,2019,133,Bala
Comedy,U/A 13+,2009,132,Bellary Naga
Comedy,U/A 13+,2014,125,Beware of Dogs
Comedy,U/A 13+,2020,12,Bhaada
Comedy,U/A 13+,2007,148,Bhool Bhulaiyaa
Comedy,U/A 13+,1989,113,Bhoolokamlo Rambha Urvasi Menaka
Comedy,U/A 13+,2012,114,Bhooter Bhabishyat
Comedy,U/A 13+,2017,127,Bibaho Diaries
Comedy,U/A 13+,1988,104,Big
Comedy,U/A 13+,1999,132,Biwi No. 1
Comedy,U/A 13+,1993,144,Butterflies
Comedy,U/A 13+,2020,92,Byapika Biday
Comedy,U/A 13+,2008,127,C Kkompany
Comedy,U/A 13+,2021,118,Cash
Comedy,U/A 13+,2021,12,Chaipatti
Comedy,U/A 13+,2022,6,Cheater
Comedy,U/A 13+,2016,146,Chennai 600028
Comedy,U/A 13+,2010,106,Cheriya Kallanum Valiya Polisum
Comedy,U/A 13+,2012,107,Chettayees
Comedy,U/A 13+,2017,114,Chunkzz
Comedy,U/A 13+,2015,141,Cinema Choopista Mama
Comedy,U/A 13+,2008,150,College Kumaran
Comedy,U/A 13+,2009,125,Colours
Comedy,U/A 13+,2021,5,Coma
Comedy,U/A 13+,2019,141,Comali
Comedy,U/A 13+,2009,104,Confessions Of A Shopaholic
Comedy,U/A 13+,2013,118,Crazy
Comedy,U/A 13+,2012,134,Crazy Loka
Comedy,U/A 13+,2014,111,Damaal Dumeel
Comedy,U/A 13+,2019,134,De De Pyaar De
Comedy,U/A 13+,2019,12,Democracy
Comedy,U/A 13+,2018,15,Dhachka
Comedy,U/A 13+,2009,138,Dheera
Comedy,U/A 13+,2007,145,Dhol
Comedy,U/A 13+,1998,85,Doctor Dolittle
Comedy,U/A 13+,2009,113,Doctor Patient
Comedy,U/A 13+,2015,93,Dolly Ki Doli
Comedy,U/A 13+,2015,131,Dongaata
Comedy,U/A 13+,2013,156,Doosukeltha
Comedy,U/A 13+,2011,142,Double Decker
Comedy,U/A 13+,2014,133,Ekkees Toppon Ki Salaami
Comedy,U/A 13+,2020,126,Ellam Eli Mayam
Comedy,U/A 13+,1992,125,Ellarum Chollanu
Comedy,U/A 13+,2018,4,Exes
Comedy,U/A 13+,2018,139,F2: Fun and Frustration
Comedy,U/A 13+,2012,107,Filmistaan
Comedy,U/A 13+,1992,113,First Bell
Comedy,U/A 13+,2003,96,Freaky Friday
Comedy,U/A 13+,2021,15,Friendship Goals I Brave New World
Comedy,U/A 13+,2013,135,Fukrey
Comedy,U/A 13+,2012,109,Gali Gali Chor Hai
Comedy,U/A 13+,2019,155,Gang Leader
Comedy,U/A 13+,2005,137,Garam Masala
Comedy,U/A 13+,2016,107,Ghantaa
Comedy,U/A 13+,1993,126,Ghoshayaathra
Comedy,U/A 13+,2017,144,Golmaal Again
Comedy,U/A 13+,1989,126,Gopala Rao Gari Abbai
Comedy,U/A 13+,2004,100,Govindankutty Thirakkilanu
Comedy,U/A 13+,1998,136,Grama Panchayath
Comedy,U/A 13+,2015,119,Guddu Rangeela
Comedy,U/A 13+,2017,126,Guest iin London
Comedy,U/A 13+,2009,132,Hailesa
Comedy,U/A 13+,2016,134,Haripada Bandwala
Comedy,U/A 13+,1994,149,Hello Brother
Comedy,U/A 13+,2022,103,Hocus Pocus 2
Comedy,U/A 13+,2013,131,Honey Bee
Comedy,U/A 13+,2012,150,Housefull 2
Comedy,U/A 13+,2016,128,Housefull 3
Comedy,U/A 13+,2019,135,Housefull 4
Comedy,U/A 13+,2017,18,Housewarming
Comedy,U/A 13+,2014,115,Hrudaya Kaleyam
Comedy,U/A 13+,2004,146,Hulchul
Comedy,U/A 13+,2021,128,Hum Do Hamare Do
Comedy,U/A 13+,2005,141,Hungama
Comedy,U/A 13+,2021,151,Hungama 2
Comedy,U/A 13+,1986,117,Ice Cream
Comedy,U/A 13+,2012,109,Idiots
Comedy,U/A 13+,2005,124,In Her Shoes
Comedy,U/A 13+,1997,156,Ishq
Comedy,U/A 13+,1985,126,Ithu Nalla Thamasa
Comedy,U/A 13+,2013,110,Jaffa
Comedy,U/A 13+,2022,143,Jaya Jaya Jaya Jaya Hey
Comedy,U/A 13+,2019,108,Jojo Rabbit
Comedy,U/A 13+,2013,123,Jolly LLB
Comedy,U/A 13+,2020,84,Joy Ma Kali Boarding
Comedy,U/A 13+,2017,138,Judwaa 2
Comedy,U/A 13+,2007,130,Just Married
Comedy,U/A 13+,2008,137,Kabadi Kabadi
Comedy,U/A 13+,2011,139,Kal Manja
Comedy,U/A 13+,2014,122,Kathai Thiraikathai Vasanam Iyakkam
Comedy,U/A 13+,2016,100,Keeping Up with the Joneses
Comedy,U/A 13+,2016,146,Kelor Kirti
Comedy,U/A 13+,2013,141,Kevvu Keka
Comedy,U/A 13+,2011,134,Killadi Raman
Comedy,U/A 13+,1991,125,Kilukkampetti
Comedy,U/A 13+,2017,15,Kissss
Comedy,U/A 13+,2004,121,Kottaram Vaidyan
Comedy,U/A 13+,2011,132,Kudumbasree Travels
Comedy,U/A 13+,1992,130,Kunukkittakozhi
Comedy,U/A 13+,1990,133,Kuttettan
Comedy,U/A 13+,2005,146,Kya Kool Hai Hum
Comedy,U/A 13+,2001,150,Kyo Kii... Main Jhuth Nahin Bolta
Comedy,U/A 13+,2013,149,Ladies & Gentlemen
Comedy,U/A 13+,2018,19,Looking for Mr. Right
Comedy,U/A 13+,2020,131,Lootcase
Comedy,U/A 13+,2018,105,"Love, Simon"
Comedy,U/A 13+,2012,141,Lovely
Comedy,U/A 13+,1980,97,Loving Couples
Comedy,U/A 13+,2011,134,Lucky Jokers
Comedy,U/A 13+,2013,118,Mahesh
Comedy,U/A 13+,2020,3,Make A Wish
Comedy,U/A 13+,1996,124,Malayala Masom Chingam Onnu
Comedy,U/A 13+,2002,142,Manmadhudu
Comedy,U/A 13+,2014,128,Mannar Mathai Speaking - 2
Comedy,U/A 13+,2021,25,Mannequin
Comedy,U/A 13+,2017,117,Maragatha Nanayam
Comedy,U/A 13+,2010,124,Maryada Ramanna
Comedy,U/A 13+,2017,24,Masale Pyar Wale
Comedy,U/A 13+,2013,143,Matru Ki Bijlee Ka Mandola
Comedy,U/A 13+,2021,20,Men Will Be Men
Comedy,U/A 13+,2018,106,Mera Faisla
Comedy,U/A 13+,2017,110,Mera Vaada My Promise
Comedy,U/A 13+,2013,133,Mister Pellikoduku
Comedy,U/A 13+,2011,114,Money Money More Money
Comedy,U/A 13+,2015,117,Money Rathnam
Comedy,U/A 13+,1992,137,Mr and Mrs
Comedy,U/A 13+,2009,116,Mr. Painter
Comedy,U/A 13+,1993,125,Mrs. Doubtfire
Comedy,U/A 13+,2009,144,Namasthe London
Comedy,U/A 13+,2012,180,Nanban
Comedy,U/A 13+,1991,124,Nattu Vishesham
Comedy,U/A 13+,2013,131,Naveena Saraswathi Sabatham
Comedy,U/A 13+,2010,152,Nene Ambani
Comedy,U/A 13+,1991,160,Nirnayam
Comedy,U/A 13+,1990,170,No 20 Madras Mail
Comedy,U/A 13+,2012,121,Nuvva Nena
Comedy,U/A 13+,2022,17,O Re Saajan
Comedy,U/A 13+,2014,102,O Teri
Comedy,U/A 13+,1992,127,Oottippattanam
Comedy,U/A 13+,1998,131,Oru Maravathoor Kanavu
Comedy,U/A 13+,2003,124,Out of Control
Comedy,U/A 13+,2011,150,Paglu
Comedy,U/A 13+,2012,141,Paglu 2
Comedy,U/A 13+,2014,147,Pandavulu Pandavulu Thummeda
Comedy,U/A 13+,2018,114,Panjumittai
Comedy,U/A 13+,2008,138,Parthan Kanda Pralokam
Comedy,U/A 13+,2006,121,Party
Comedy,U/A 13+,1988,136,Peddodu Chinnodu
Comedy,U/A 13+,2021,134,Plan Panni Pannanum
Comedy,U/A 13+,2019,145,Prati Roju Pandage
Comedy,U/A 13+,1994,129,Prema & Co
Comedy,U/A 13+,2013,117,Prema Kathaa Chitram
Comedy,U/A 13+,1985,121,Puli Varunne Puli
Comedy,U/A 13+,2014,153,Pungidasa
Comedy,U/A 13+,2008,136,Puthukottai Azhagan
Comedy,U/A 13+,2022,19,Raat Baki
Comedy,U/A 13+,2018,14,Rambabu
Comedy,U/A 13+,2015,10,Ramji Bhai
Comedy,U/A 13+,2016,126,Remo
Comedy,U/A 13+,2018,138,Rosapoo
Comedy,U/A 13+,2017,110,Running Shaadi
Comedy,U/A 13+,2017,132,Sangili Bungili Darwaza Khol
Comedy,U/A 13+,2011,105,Sankaranum Mohananum
Comedy,U/A 13+,2010,124,Saradaga Kaasepu
Comedy,U/A 13+,2022,160,Saturday Night
Comedy,U/A 13+,2011,128,Seema Tapakai
